Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
OpenFxBrushName,,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,
OpenFxBrushPluginName,,プラグイン,Plugin,插件,外掛程式,플러그인,Plugin,ملحق,Plugin,
OpenFxBrushPluginDesc,,使用するOpenFXプラグイン,OpenFX plugin to use,使用的OpenFX插件,使用的OpenFX外掛程式,사용할 OpenFX 플러그인,Plugin OpenFX a utilizar,ملحق OpenFX المراد استخدامه,Plugin OpenFX yang digunakan,
OpenFxBrushCoordinateModeName,,単位,Unit,单位,單位,단위,Unidad,الوحدة,Unit,
OpenFxBrushCoordinateModeDesc,,幅と高さの指定単位（割合は描画対象のサイズ基準）,Unit used for width and height (percentage is relative to the drawing target),宽度和高度的指定单位（比例以绘制目标为基准）,寬度與高度的指定單位（比例以繪製目標為基準）,폭과 높이의 지정 단위(비율은 그리기 대상 기준),Unidad utilizada para la anchura y la altura (el porcentaje es relativo al destino de dibujo),الوحدة المستخدمة للعرض والارتفاع (النسبة المئوية نسبةً إلى هدف الرسم),Satuan untuk lebar dan tinggi (persentase relatif terhadap target gambar),
OpenFxBrushWidthName,,幅,Width,宽度,寬度,너비,Anchura,العرض,Lebar,
OpenFxBrushWidthDesc,,横方向の大きさ,Horizontal size,水平方向尺寸,水平方向大小,가로 크기,Tamaño horizontal,الحجم الأفقي,Lebar horizontal,
OpenFxBrushHeightName,,高さ,Height,高度,高度,높이,Altura,الارتفاع,Tinggi,
OpenFxBrushHeightDesc,,縦方向の大きさ,Vertical size,垂直方向尺寸,垂直方向大小,세로 방향의 크기,Tamaño vertical,الحجم العمودي,Ukuran vertikal,
OpenFxBrushExtendModeXName,,繰り返しX,Wrap X,重复X,重複X,반복 X,Envolver X,تكرار X,Bungkus X,
OpenFxBrushExtendModeYName,,繰り返しY,Wrap Y,重复Y,重複Y,반복 Y,Envolver Y,تكرار Y,Bungkus Y,
