Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Seigaiha,,青海波,Wave Scale Pattern,青海波图案,青海波圖案,파도 비늘 무늬,Patrón de escamas de ola,نمط موجة البحر,Pola Sisik Gelombang,
Color,,色,Color,颜色,色,색,Color,لون,Warna,
BackgroundColor,,背景色,Background Color,背景色,背景色,배경색,Fondo de color,لون الخلفية,Warna Latar Belakang,
StrokeColor,,線の色,Stroke Color,线条颜色,線條顏色,선 색상,Color de línea,لون الخط,Warna Garis,
Radius,,半径,Radius,半径,半徑,반지름,Radio,نصف القطر,Radius,
LineWidth,,線幅,Line Width,线宽,線寬,선 너비,Ancho de línea,عرض الخط,Lebar Garis,
RingCount,,同心円の数,Ring Count,同心圆数量,同心圓數量,동심원 수,Número de anillos,عدد الحلقات,Jumlah Lingkaran,
Zoom,,拡大率,Zoom,缩放率,縮放,확대,Zoom,تكبير,Zoom,
GradientEnabled,,グラデーション,Gradient,渐变,漸變,그라디언트,Degradado,تدرج,Gradien,
OuterColor,,外殻の色,Outer Color,外壳颜色,外殼顏色,외각 색,Color exterior,لون خارجي,Warna Luar,
InnerColor,,内殻の色,Inner Color,内壳颜色,內殼顏色,내각 색,Color interior,لون داخلي,Warna Dalam,
FlatColorGroup,,単色,Flat Color,单色,單色,단색,Color plano,لون ثابت,Warna Solid,
GradientColorGroup,,グラデーション,Gradient,渐变,漸變,그라디언트,Degradado,تدرج,Gradien,
CommonColorGroup,,共通色,Common Color,公共色,公共色,공통 색,Color común,لون مشترك,Warna Umum,
