Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Equalizer,,イコライザー,Equalizer,均衡器,均衡器,이퀄라이저,Ecualizador,معادل الصوت,Equalizer,
B32,,32Hz,32Hz,32Hz,32Hz,32Hz,32Hz,32Hz,32Hz,
B64,,64Hz,64Hz,64Hz,64Hz,64Hz,64Hz,64Hz,64Hz,
B125,,125Hz,125Hz,125Hz,125Hz,125Hz,125Hz,125Hz,125Hz,
B250,,250Hz,250Hz,250Hz,250Hz,250Hz,250Hz,250Hz,250Hz,
B500,,500Hz,500Hz,500Hz,500Hz,500Hz,500Hz,500Hz,500Hz,
B1k,,1kHz,1kHz,1kHz,1kHz,1kHz,1kHz,1kHz,1kHz,
B2k,,2kHz,2kHz,2kHz,2kHz,2kHz,2kHz,2kHz,2kHz,
B4k,,4kHz,4kHz,4kHz,4kHz,4kHz,4kHz,4kHz,4kHz,
B8k,,8kHz,8kHz,8kHz,8kHz,8kHz,8kHz,8kHz,8kHz,
B16k,,16kHz,16kHz,16kHz,16kHz,16kHz,16kHz,16kHz,16kHz,
