Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Equalizer2,,パラメトリックイコライザー,Parametric Equalizer,参数均衡器,參數均衡器,파라메트릭 이퀄라이저,Ecualizador paramétrico,معادل صوت متعدد المعاملات,Equalizer Parametrik,
Bands,,バンド,Bands,频段,頻段,밴드,Bandas,نطاقات,Band,
Empty,,,,,,,,,,
Frequency,,周波数,Frequency,频率,頻率,주파수,Frecuencia,تردد,Frekuensi,
Gain,,ゲイン,Gain,增益,增益,게인,Ganancia,كسب,Gain,
Q,,Q,Q,Q,Q,Q,Q,Q,Q,
FilterType,,フィルタ種別,Filter Type,按键类型,按鍵類型,필터 유형,Tipo de filtro,نوع الفلتر,Tipe Filter,
FilterTypeDesc,,各帯域のフィルタの種類を指定します。,Specifies the type of filter for each band.,指定每个频段的滤波器类型。,指定每個頻段的濾波器類型。,각 대역의 필터 종류를 지정합니다.,Especifica el tipo de filtro para cada banda.,يحدد نوع الفلتر لكل نطاق.,Menentukan jenis filter untuk setiap band.,
LowPass,,ローパス,Low Pass,低通,低通,로우패스,Paso bajo,تمرير منخفض,Low Pass,
HighPass,,ハイパス,High Pass,高通,高通,하이패스,Paso alto,تمرير عالي,High Pass,
BandPass,,バンドパス,Band Pass,带通,帶通,밴드패스,Paso de banda,تمرير النطاق,Band Pass,
AllPass,,オールパス,All Pass,全通,全通,올패스,Paso todo,تمرير كامل,All Pass,
Notch,,ノッチ,Notch,陷波,陷波,노치,Notch,حز,Notch,
LowShelf,,ローシェルフ,Low Shelf,低架,低架,로우쉘프,Estante bajo,رف منخفض,Low Shelf,
HighShelf,,ハイシェルフ,High Shelf,高架,高架,하이쉘프,Estante alto,رف عالي,High Shelf,
PeakingEQ,,ピーキングEQ,Peaking EQ,峰值EQ,峰值EQ,피킹 EQ,EQ de pico,معادل الذروة,Peaking EQ,
FrequencyDesc,,フィルタの基準となる周波数を指定します。,Specifies the base frequency of the filter.,指定滤波器的基准频率。,指定濾波器的基準頻率。,필터의 기준 주파수를 지정합니다.,Especifica la frecuencia base del filtro.,يحدد التردد الأساسي للفلتر.,Menentukan frekuensi dasar filter.,
GainDesc,,指定した周波数帯域の音量を増減させます。,Increases or decreases the volume of the specified frequency band.,增加或减少指定频段的音量。,增加或減少指定頻段的音量。,지정한 주파수 대역의 음량을 증감시킵니다.,Aumenta o disminuye el volumen de la banda de frecuencia especificada.,يزيد أو يقلل مستوى صوت نطاق التردد المحدد.,Meningkatkan atau menurunkan volume band frekuensi yang ditentukan.,
QDesc,,フィルタの影響が及ぶ帯域の広さを指定します。,Specifies the bandwidth affected by the filter.,指定受滤波器影响的频段宽度。,指定受濾波器影響的頻段寬度。,필터의 영향을 받는 대역폭을 지정합니다.,Especifica el ancho de banda afectado por el filtro.,يحدد عرض النطاق الذي يتأثر بالفلتر.,Menentukan lebar pita yang dipengaruhi oleh filter.,
AddBandDesc,,バンドを追加,Add band,添加频段,新增頻段,밴드 추가,Añadir banda,إضافة نطاق,Tambah band,
RemoveBandDesc,,バンドを削除,Remove band,删除频段,刪除頻段,밴드 삭제,Eliminar banda,حذف نطاق,Hapus band,
MoveUpDesc,,上に移動,Move up,上移,上移,위로 이동,Mover arriba,تحريك لأعلى,Pindah ke atas,
MoveDownDesc,,下に移動,Move down,下移,下移,아래로 이동,Mover abajo,تحريك لأسفل,Pindah ke bawah,
SortByFrequencyDesc,,周波数の高い順に並べ替え,Sort by frequency (high to low),按频率从高到低排序,按頻率從高到低排序,주파수 높은 순으로 정렬,Ordenar por frecuencia (mayor a menor),ترتيب حسب التردد (من الأعلى إلى الأدنى),Urutkan berdasarkan frekuensi (tinggi ke rendah),
