Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Vst3EffectName,,VST3エフェクト,VST3 Effect,VST3效果,VST3效果,VST3 이펙트,Efecto VST3,مؤثر VST3,Efek VST3,
Vst3EffectCategoryName,,VST3,VST3,VST3,VST3,VST3,VST3,VST3,VST3,
Vst3EffectPluginName,,プラグイン,Plugin,插件,外掛程式,플러그인,Plugin,ملحق,Plugin,
Vst3EffectPluginDesc,,適用するVST3プラグイン,VST3 plugin to apply,要应用的VST3插件,要套用的VST3外掛程式,적용할 VST3 플러그인,Plugin VST3 a aplicar,ملحق VST3 المراد تطبيقه,Plugin VST3 yang diterapkan,
Vst3EffectOpenEditorName,,エディター,Editor,编辑器,編輯器,에디터,Editor,المحرر,Editor,
Vst3EffectOpenEditorDesc,,プラグインのエディターを開き、パラメーターを編集します,Open the plugin editor to edit parameters,打开插件编辑器以编辑参数,開啟外掛程式編輯器以編輯參數,플러그인 에디터를 열어 파라미터를 편집합니다,Abre el editor del plugin para editar los parámetros,افتح محرر الملحق لتحرير المعلمات,Buka editor plugin untuk mengedit parameter,
Vst3EffectOpenEditorButtonName,,エディターを開く,Open Editor,打开编辑器,開啟編輯器,에디터 열기,Abrir editor,فتح المحرر,Buka editor,
Vst3EffectMixName,,ミックス,Mix,混合,混合,믹스,Mezcla,مزج,Campuran,
Vst3EffectMixDesc,,原音と処理音のミックス比率,The mix ratio between the dry and processed audio,原始音频与处理音频的混合比例,原始音訊與處理音訊的混合比例,원본과 처리된 오디오의 믹스 비율,Proporción de mezcla entre el audio original y procesado,نسبة المزج بين الصوت الأصلي والمعالج,Rasio campuran antara audio asli dan hasil pemrosesan,
Vst3EffectTempoSyncName,,テンポ同期,Tempo Sync,速度同步,速度同步,템포 동기화,Sincronización de tempo,مزامنة الإيقاع,Sinkronisasi tempo,
Vst3EffectTempoSyncDesc,,テンポ・拍子・再生位置をプラグインに通知します,Reports tempo time signature and playback position to the plugin,向插件报告速度拍号和播放位置,向外掛程式回報速度拍號和播放位置,플러그인에 템포 박자 및 재생 위치를 알립니다,Informa al plugin del tempo el compás y la posición de reproducción,يبلغ الملحق بالإيقاع والميزان وموضع التشغيل,Melaporkan tempo tanda birama dan posisi pemutaran ke plugin,
Vst3EffectTempoName,,テンポ,Tempo,速度,速度,템포,Tempo,الإيقاع,Tempo,
Vst3EffectTempoDesc,,プラグインに通知するテンポ,Tempo reported to the plugin,向插件报告的速度,向外掛程式回報的速度,플러그인에 알릴 템포,Tempo informado al plugin,الإيقاع المبلغ إلى الملحق,Tempo yang dilaporkan ke plugin,
