Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
AudioVolumeSkewEffect,,音量に合わせて傾斜変形,Skew Transformation According to Volume,根据音量进行倾斜变形,根據音量進行傾斜變形,음량에 따라 기울기 변형,Transformación de sesgado según el volumen,تحويل الميلان حسب مستوى الصوت,Transformasi Miring Sesuai Volume
AngleX,,X方向,X Direction,X方向,X方向,X 방향,Dirección X,الاتجاه X,Arah X
AngleXDesc,,X方向の角度,Angle in X Direction,X方向的角度,X方向的角度,X 방향의 각도,Ángulo en la dirección X,زاوية الاتجاه X,Sudut Arah X
AngleY,,Y方向,Y Direction,Y方向,Y方向,Y 방향,Dirección Y,الاتجاه Y,Arah Y
AngleYDesc,,Y方向の角度,Angle in Y Direction,Y方向的角度,Y方向的角度,Y 방향의 각도,Ángulo en la dirección Y,زاوية الاتجاه Y,Sudut Arah Y
CenterPoint,,中心,Center,中心,中心,중심,Centro,المركز,Pusat
CenterPointDesc,,変形の中心,Center of Transformation,变形中心,變形中心,변형의 중심,Centro de transformación,مركز التحويل,Pusat Transformasi
SkewCenterPointCenter,,中央,Middle,中央,中央,중앙,Centro,المنتصف,Tengah
SkewCenterPointTop,,上辺,Top Edge,上边,上邊,윗변,Borde superior,الحافة العلوية,Tepi Atas
SkewCenterPointBottom,,下辺,Bottom Edge,下边,下邊,아랫변,Borde inferior,الحافة السفلية,Tepi Bawah
SkewCenterPointLeft,,左辺,Left Edge,左边,左邊,왼쪽 변,Borde izquierdo,الحافة اليسرى,Tepi Kiri
SkewCenterPointRight,,右辺,Right Edge,右边,右邊,오른쪽 변,Borde derecho,الحافة اليمنى,Tepi Kanan
SkewCenterPointCustom,,カスタム,Custom,自定义,自訂,커스텀,Personalizado,مخصص,Kustom
CenterX,,中心X,Center X,中心X,中心X,중심 X,Centro X,المركز X,Tengah X
CenterXDesc,,変形の中心X,Center of Transformation X,变形中心X,變形中心X,변형의 중심 X,Centro de transformación X,مركز التحويل X,Pusat Transformasi X
CenterY,,中心Y,Center Y,中心Y,中心Y,중심 Y,Centro Y,المركز Y,Tengah Y
CenterYDesc,,変形の中心Y,Center of Transformation Y,变形中心Y,變形中心Y,변형의 중심 Y,Centro de transformación Y,مركز التحويل Y,Pusat Transformasi Y
