Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
CircularBlurEffectIsHardBorderModeName,,サイズを固定,Fixed size,固定大小,固定大小,크기 고정,Tamaño fijo,حجم ثابت,Ukuran tetap
CircularBlurEffectIsHardBorderModeDesc,,サイズを固定,Fixed size,固定大小,固定大小,크기 고정,Tamaño fijo,حجم ثابت,Ukuran tetap
CircularBlurEffectAngleDesc,,ブラーの角度,Angle of the blur,模糊角度,模糊角度,블러 각도,Ángulo de desenfoque,زاوية التمويه,Sudut buram
EffectCategoryFilteringName,,加工,Processing,处理,加工,가공,Procesamiento,معالجة,Memproses
CircularBlurEffectName,,回転ブラー,Rotation blur,旋转模糊,回轉模糊,회전 블러,Desenfoque de rotación,التشويش الدائري,Keburaman rotasi
CircularBlurGroupName,,回転ブラー,Rotation blur,旋转模糊,回轉模糊,회전 블러,Desenfoque de rotación,التشويش الدائري,Keburaman rotasi
CircularBlurEffectAngleName,,角度,Angle,角度,角度,각도,Ángulo,زاوية,Sudut
CircularBlurEffectXName,,中心X,Center X,中心X,中心X,중심 X,Centro X,مركز X,Pusat X
CircularBlurEffectYName,,中心Y,Center Y,中心Y,中心Y,중심 Y,Centro Y,مركز Y,Pusat Y
CircularBlurEffectXDesc,,中心座標X,Center coordinate X,中心坐标X,中心座標X,중심 좌표 X,Coordenada central X,إحداثي المركز X,Koordinat pusat X
CircularBlurEffectYDesc,,中心座標Y,Center coordinate Y,中心坐标Y,中心座標Y,중심 좌표 Y,Coordenada central Y,إحداثي المركز Y,Koordinat pusat Y
