Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
DirectionalColorKeyEffectName,,方向色分離キー,Directional Color Key,方向色分离键控,方向色分離鍵控,방향 색 분리 키,Clave de color direccional,مفتاح اللون الاتجاهي,Kunci Warna Terarah
DirectionalColorKeyGroupName,,方向色分離キー,Directional Color Key,方向色分离键控,方向色分離鍵控,방향 색 분리 키,Clave de color direccional,مفتاح اللون الاتجاهي,Kunci Warna Terarah
DirectionalColorKeyBackgroundColorName,,背景色,Background Color,背景色,背景色,배경색,Color de fondo,لون الخلفية,Warna Latar
DirectionalColorKeyBackgroundColorDesc,,除去する背景色,Background color to remove,要移除的背景色,要移除的背景色,제거할 배경색,Color de fondo a eliminar,لون الخلفية المراد إزالته,Warna latar yang dihapus
DirectionalColorKeyClusterCountName,,前景層数,Foreground Layers,前景层数,前景層數,전경 레이어 수,Capas de primer plano,عدد طبقات المقدمة,Jumlah Lapisan Depan
DirectionalColorKeyClusterCountDesc,,方向クラスタリングで分離する前景層の最大数,Maximum foreground layers separated by direction clustering,方向聚类分离的前景层最大数,方向聚類分離的前景層最大數,방향 클러스터링으로 분리할 전경 레이어 최대 수,Número máximo de capas separadas por agrupamiento direccional,أقصى عدد لطبقات المقدمة المفصولة بالتجميع الاتجاهي,Jumlah maksimum lapisan depan dari klastering arah
DirectionalColorKeyScaleModeName,,スケール決定,Scale Mode,缩放方式,縮放方式,스케일 결정,Modo de escala,وضع المقياس,Mode Skala
DirectionalColorKeyScaleModeDesc,,アルファのスケール決定戦略,Strategy to determine alpha scale,确定 alpha 缩放的策略,確定 alpha 縮放的策略,알파 스케일 결정 전략,Estrategia para determinar la escala alfa,استراتيجية تحديد مقياس ألفا,Strategi penentuan skala alfa
DirectionalColorKeyScaleModePhysicalName,,物理境界,Physical Bound,物理边界,物理邊界,물리 경계,Límite físico,الحد الفيزيائي,Batas Fisik
DirectionalColorKeyScaleModePhysicalDesc,,色域境界からスケール下限を計算,Compute scale from gamut boundary,从色域边界计算缩放,從色域邊界計算縮放,색역 경계에서 스케일 계산,Calcular escala desde el límite de gama,حساب المقياس من حدود التدرج,Hitung skala dari batas gamut
DirectionalColorKeyScaleModeOpaqueName,,不透明基準,Opaque Reference,不透明参考,不透明參考,불투명 기준,Referencia opaca,مرجع معتم,Referensi Buram
DirectionalColorKeyScaleModeOpaqueDesc,,射影分布のパーセンタイルからスケールを決定,Determine scale from projection percentile,从投影分布的百分位确定缩放,從投影分布的百分位確定縮放,투영 분포의 백분위에서 스케일 결정,Determinar escala desde el percentil de proyección,تحديد المقياس من النسبة المئوية للإسقاط,Tentukan skala dari persentil proyeksi
DirectionalColorKeyScaleModeForegroundName,,前景色指定,Foreground Hint,指定前景色,指定前景色,전경색 지정,Color de primer plano,تلميح المقدمة,Petunjuk Latar Depan
