Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
EffectCategoryDecorationName,,装飾,Decoration,装饰,裝飾,장식,Decoración,زخرفة,Dekorasi
InnerOutlineEffectName,,縁取り（内側）,Outline (inner),描边（内侧）,描邊（內側）,테두리 (내부),Contorno (interno),التحديد (داخلي),Garis tepi (dalam)
InnerOutlineEffectThicknessName,,太さ,Thickness,粗细度,線條粗細,두께,Grosor,السُمك,Ketebalan
InnerOutlineEffectThicknessDesc,,線の太さ,Line thickness,线条粗细,線條粗細,선의 두께,Grosor de línea,سمك الخط,Ketebalan garis
InnerOutlineEffectOpacityName,,不透明度,Opacity,不透明度,不透明度,불투명도,Opacidad,التعتيم,Opasitas
InnerOutlineEffectOpacityDesc,,不透明度,Opacity,不透明度,不透明度,불투명도,Opacidad,التعتيم,Opasitas
InnerOutlineEffectBlurName,,ぼかし,Blur,模糊,模糊,흐림,Desenfoque,ضبابية,Buram
InnerOutlineEffectBlurDesc,,ぼかし,Blur,模糊,模糊,흐림,Desenfoque,تمويه,Buram
InnerOutlineEffectBrushGroupName,,縁の模様,Pattern of border,描边的图案,邊框的圖案,테두리의 패턴,Patrón de borde,نمط الحدود,Pola garis tepi
InnerOutlineEffectBlendName,,合成モード,Blend mode,混合模式,合成方法,합성 방법,Modo de fusión,وضع المزج,Mode campuran
InnerOutlineEffectBlendDesc,,合成モード,Blend mode,混合模式,合成方法,합성 방법,Modo de fusión,وضع المزج,Mode campuran
InnerOutlineEffectIsOutlineOnlyName,,縁のみ,Outline only,仅描边,僅描邊,테두리만,Solo contorno,الخط الخارجي فقط,Hanya garis tepi
InnerOutlineEffectIsOutlineOnlyDesc,,縁のみ,Outline only,仅描边,僅描邊,테두리만,Solo contorno,تحديد الحدود فقط,Hanya garis tepi
