Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
OpenFxEffectName,,OpenFXエフェクト,OpenFX Effect,OpenFX效果,OpenFX效果,OpenFX 이펙트,Efecto OpenFX,مؤثر OpenFX,Efek OpenFX,
OpenFxEffectPluginName,,プラグイン,Plugin,插件,外掛程式,플러그인,Plugin,ملحق,Plugin,
OpenFxEffectPluginDesc,,適用するOpenFXプラグイン,OpenFX plugin to apply,要应用的OpenFX插件,要套用的OpenFX外掛程式,적용할 OpenFX 플러그인,Plugin OpenFX a aplicar,ملحق OpenFX المراد تطبيقه,Plugin OpenFX yang diterapkan,
OpenFxEffectLoadErrorMessage,,プラグインの読み込みに失敗しました。詳細はログを確認してください。,Failed to load the plugin. Check the log for details.,插件加载失败。详情请查看日志。,外掛程式載入失敗。詳情請查看記錄。,플러그인 로드에 실패했습니다. 자세한 내용은 로그를 확인하세요.,No se pudo cargar el plugin. Consulta el registro para más detalles.,فشل تحميل الملحق. راجع السجل لمزيد من التفاصيل.,Gagal memuat plugin. Periksa log untuk detailnya.,
OpenFxEffectReloadPluginsToolTip,,プラグイン一覧を再読み込み,Reload the plugin list,重新加载插件列表,重新載入外掛程式清單,플러그인 목록 다시 로드,Recargar la lista de plugins,إعادة تحميل قائمة الملحقات,Muat ulang daftar plugin,
OpenFxSettingsDefaultDirectoriesName,,標準のOpenFXフォルダー,Default OpenFX folders,默认OpenFX文件夹,預設OpenFX資料夾,기본 OpenFX 폴더,Carpetas OpenFX predeterminadas,مجلدات OpenFX الافتراضية,Folder OpenFX default,
OpenFxSettingsAdditionalDirectoriesName,,追加のOpenFXフォルダー,Additional OpenFX folders,追加的OpenFX文件夹,追加的OpenFX資料夾,추가 OpenFX 폴더,Carpetas OpenFX adicionales,مجلدات OpenFX إضافية,Folder OpenFX tambahan,
OpenFxSettingsAddDirectoryButton,,追加,Add,添加,新增,추가,Añadir,إضافة,Tambah,
OpenFxSettingsRemoveDirectoryButton,,削除,Remove,删除,移除,삭제,Quitar,إزالة,Hapus,
OpenFxSettingsOpenDirectoryToolTip,,フォルダーを開く,Open Folder,打开文件夹,開啟資料夾,폴더 열기,Abrir carpeta,فتح المجلد,Buka Folder,
OpenFxSettingsPluginListName,,認識しているプラグイン,Detected plugins,已识别的插件,已辨識的外掛程式,인식된 플러그인,Plugins detectados,الملحقات المكتشفة,Plugin terdeteksi,
OpenFxSettingsPluginNameColumn,,名前,Name,名称,名稱,이름,Nombre,الاسم,Nama,
OpenFxSettingsPluginGroupColumn,,グループ,Group,分组,群組,그룹,Grupo,المجموعة,Grup,
OpenFxSettingsPluginPathColumn,,パス,Path,路径,路徑,경로,Ruta,المسار,Jalur,
OpenFxSettingsRescanButton,,再スキャン,Rescan,重新扫描,重新掃描,다시 스캔,Reescanear,إعادة الفحص,Pindai ulang,
OpenFxSettingsScanningMessage,,スキャン中...,Scanning...,扫描中...,掃描中...,스캔 중...,Escaneando...,جارٍ الفحص...,Memindai...,
OpenFxSettingsPluginCountMessage,0: plugin count,{0}個のプラグインを認識しています,{0} plugins detected,已识别{0}个插件,已辨識{0}個外掛程式,{0}개의 플러그인을 인식했습니다,Se detectaron {0} plugins,تم اكتشاف {0} من الملحقات,{0} plugin terdeteksi,
