Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
PartialOutlineEffectName,,縁取り（部分）,Outline (Partial),描边（部分）,描邊（部分）,테두리 (부분),Contorno (parcial),تحديد (جزئي),Garis tepi (sebagian)
PartialOutlineOutlineGroupName,,縁取り設定,Outline Settings,描边设置,描邊設定,테두리 설정,Configuración de contorno,إعدادات الحدود,Pengaturan garis tepi
PartialOutlineThicknessName,,太さ,Thickness,粗度,線條粗細,두께,Grosor,السُمك,Ketebalan
PartialOutlineThicknessDesc,,縁取りの太さを調整します。,Adjusts the thickness of the outline.,调整描边的粗度。,調整描邊的粗細。,테두리의 두께를 조정합니다.,Ajusta el grosor del contorno.,يضبط سمك الحدود.,Menyesuaikan ketebalan garis tepi.
PartialOutlineQualityName,,品質,Quality,质量,品質,품질,Calidad,الجودة,Kualitas
PartialOutlineQualityDesc,,縁取りの品質（サンプル数）を調整します。,Adjusts the quality (sample count) of the outline.,调整描边的质量（采样数量）。,調整描邊的品質（取樣數量）。,테두리의 품질(샘플 수)을 조정합니다.,Ajusta la calidad (número de muestras) del contorno.,يضبط جودة الحدود عبر عدد العينات.,Menyesuaikan kualitas garis tepi melalui jumlah sampel.
PartialOutlineSmoothnessName,,なめらかさ,Smoothness,平滑度,平滑度,부드러움,Suavidad,النعومة,Kehalusan
PartialOutlineSmoothnessDesc,,縁取りのエッジのなめらかさを調整します。,Adjusts the smoothness of the outline edge.,调整描边边缘的平滑度。,調整描邊邊緣的平滑度。,테두리 가장자리의 부드러움을 조정합니다.,Ajusta la suavidad del borde del contorno.,يضبط نعومة حافة الحدود.,Menyesuaikan kehalusan tepi garis tepi.
PartialOutlineIsAngularName,,角縁取り,Angular Outline,直角描边,直角描邊,각진 테두리,Contorno angular,تحديد بزوايا حادة,Garis tepi bersudut
PartialOutlineIsAngularDesc,,角を活かした直線的な縁取りをします。,Applies a rectilinear angular-style outline.,使用直角样式进行描边。,使用直角樣式進行描邊。,직선적인 각진 스타일의 테두리를 적용합니다.,Aplica un contorno de estilo angular rectilíneo.,يطبق تحديدًا بأسلوب زوايا حادة مستقيمة.,Menerapkan garis tepi bergaya sudut siku.
PartialOutlinePartialGroupName,,部分表示設定,Partial Display Settings,局部显示设置,局部顯示設定,부분 표시 설정,Configuración de visualización parcial,إعدادات العرض الجزئي,Pengaturan tampilan sebagian
PartialOutlineAngleName,,帯の方向,Band Direction,带状方向,帶狀方向,띠 방향,Dirección de banda,اتجاه الشريط,Arah pita
PartialOutlineAngleDesc,,縁取りを表示する帯が走る軸の方向を角度で指定します（90°が上方向）。,Specifies the axis direction of the visible band in degrees (90° is upward).,以角度指定显示帯方向轴（90°为向上）。,以角度指定顯示帶方向軸（90°為向上）。,테두리를 표시하는 띠가 이어지는 축 방향을 각도로 지정합니다 (90°가 위쪽).,Especifica la dirección del eje de la banda visible en grados (90° es hacia arriba).,يحدد اتجاه محور الشريط المرئي بالدرجات (90 درجة للأعلى).,Menentukan arah sumbu pita tampilan dalam derajat (90° adalah ke atas).
PartialOutlinePositionName,,帯の中心位置,Band Position,带中心位置,帶中心位置,띠 중심 위치,Posición de banda,موضع مركز الشريط,Posisi pusat pita
PartialOutlinePositionDesc,,縁取りを表示する帯の中心を アイテムの軸方向の半幅を基準に移動します（0%でアイテム中心 +100%で正方向の端 −100%で負方向の端）。,Shifts the band center relative to the item half-extent along the axis (0% at item center +100% at the positive edge −100% at the negative edge).,以项目轴方向半宽为基准移动显示带中心（0%为项目中心 +100%为正方向端 −100%为负方向端）。,以項目軸方向半寬為基準移動顯示帶中心（0%為項目中心 +100%為正方向端 −100%為負方向端）。,아이템의 축 방향 반폭을 기준으로 표시 띠의 중심을 이동합니다 (0%=아이템 중심 +100%=양방향 끝 −100%=음방향 끝).,Desplaza el centro de la banda relativo a la semiancho del elemento en la dirección del eje (0% en el centro +100% en el borde positivo −100% en el borde negativo).,يحرك مركز الشريط بالنسبة لنصف عرض العنصر على طول المحور (0% عند المركز +100% عند الحافة الموجبة −100% عند الحافة السالبة).,Menggeser pusat pita relatif terhadap setengah lebar elemen sepanjang sumbu (0% di tengah +100% di tepi positif −100% di tepi negatif).
PartialOutlineWidthName,,帯の幅,Band Width,带宽,帶寬,띠 너비,Ancho de banda,عرض الشريط,Lebar pita
PartialOutlineWidthDesc,,縁取りを表示する帯の幅を アイテムの軸方向の半幅を基準に指定します（100%でアイテム半幅分 200%でアイテム全幅が帯幅となります）。,Specifies the band width relative to the item half-extent along the axis (100% equals one item half-extent 200% covers the full item extent).,以项目轴方向半宽为基准指定显示带宽（100%等于一个半宽 200%覆盖整个项目范围）。,以項目軸方向半寬為基準指定顯示帶寬（100%等於一個半寬 200%覆蓋整個項目範圍）。,아이템의 축 방향 반폭을 기준으로 표시 띠의 너비를 지정합니다 (100%=반폭 하나 200%=전체 너비).,Especifica el ancho de banda relativo a la semiancho del elemento en el eje (100% equivale a una semiancho 200% cubre todo el elemento).,يحدد عرض الشريط بالنسبة لنصف عرض العنصر على المحور (100% يساوي نصف عرض واحد 200% يغطي العنصر بالكامل).,Menentukan lebar pita relatif terhadap setengah lebar elemen sepanjang sumbu (100% sama dengan satu setengah lebar 200% mencakup seluruh elemen).
PartialOutlineSoftnessName,,エッジのやわらかさ,Edge Softness,边缘柔化,邊緣柔化,가장자리 부드러움,Suavidad del borde,نعومة الحافة,Kelembutan tepi
PartialOutlineSoftnessDesc,,帯の両端境界をどれだけ滑らかにぼかすかを帯半幅に対する割合で調整します。,Adjusts how gradually the band edges fade as a fraction of the band half-width.,调整带状边缘的渐变柔化程度 以带半宽的比例表示。,調整帶狀邊緣的漸變柔化程度 以帶半寬的比例表示。,띠의 양쪽 가장자리를 얼마나 부드럽게 흐리게 할지 띠 반너비 대비 비율로 조정합니다.,Ajusta la suavidad del desvanecimiento en los bordes de la banda como fracción del semiancho.,يضبط مدى تدرج تلاشي حواف الشريط كنسبة من نصف عرضه.,Menyesuaikan seberapa bertahap tepi pita memudar sebagai pecahan dari setengah lebar pita.
PartialOutlineAppearanceGroupName,,表示設定,Appearance Settings,外观设置,外觀設定,외관 설정,Configuración de apariencia,إعدادات المظهر,Pengaturan tampilan
PartialOutlineOpacityName,,不透明度,Opacity,不透明度,不透明度,불투명도,Opacidad,التعتيم,Opasitas
PartialOutlineOpacityDesc,,縁取りの不透明度を調整します。,Adjusts the opacity of the outline.,调整描边的不透明度。,調整描邊的不透明度。,테두리의 불투명도를 조정합니다.,Ajusta la opacidad del contorno.,يضبط تعتيم الحدود.,Menyesuaikan opasitas garis tepi.
PartialOutlineBlurName,,ぼかし,Blur,模糊,模糊,흐림,Desenfoque,ضبابية,Buram
PartialOutlineBlurDesc,,縁取りにぼかしを加えます。,Applies blur to the outline.,对描边进行模糊处理。,對描邊進行模糊處理。,테두리에 흐림 효과를 추가합니다.,Aplica desenfoque al contorno.,يضيف تأثير الضبابية على الحدود.,Menambahkan efek blur pada garis tepi.
PartialOutlineBlendName,,合成モード,Blend Mode,混合模式,合成方法,합성 방법,Modo de fusión,وضع المزج,Mode campuran
PartialOutlineBlendDesc,,縁取りと元の映像の合成方法を切り替えます。,Switches the blending method between the outline and the original image.,切换描边与原始图像的合成方式。,切換描邊與原始圖像的合成方式。,테두리와 원본 영상의 합성 방법을 전환합니다.,Cambia el método de fusión entre el contorno y la imagen original.,يبدّل طريقة مزج الحدود مع الصورة الأصلية.,Mengalihkan metode pencampuran antara garis tepi dan gambar asli.
PartialOutlineIsOutlineOnlyName,,縁のみ,Outline Only,仅描边,僅描邊,테두리만,Solo contorno,الحدود فقط,Hanya garis tepi
PartialOutlineIsOutlineOnlyDesc,,縁取りのみを表示し 元の映像を非表示にします。,Displays only the outline and hides the original image.,仅显示描边 隐藏原始图像。,僅顯示描邊 隱藏原始圖像。,테두리만 표시하고 원본 영상을 숨깁니다.,Muestra solo el contorno y oculta la imagen original.,يعرض الحدود فقط ويخفي الصورة الأصلية.,Menampilkan hanya garis tepi dan menyembunyikan gambar asli.
PartialOutlineBrushGroupName,,縁の模様,Pattern of Border,描边图案,描邊圖案,테두리의 패턴,Patrón de borde,نمط الحدود,Pola garis tepi
TagPartialOutline,,部分縁取り,partial outline,局部描边,局部描邊,부분 테두리,contorno parcial,تحديد جزئي,garis tepi sebagian
TagPartialBorder,,部分ボーダー,partial border,局部边框,局部邊框,부분 테두리,borde parcial,حدود جزئية,batas sebagian
