Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
PuppetDeformationEffectName,,パペット変形,Puppet Warp,木偶变形,木偶變形,퍼펫 변형,Deformación Marioneta,تشويه الدمية,Deformasi Boneka
PuppetDeformationStiffnessName,,剛性,Stiffness,刚性,剛性,강성,Rigidez,الصلابة,Kekakuan
PuppetDeformationStiffnessDesc,,ピン周囲の変形の硬さを調整します。値が大きいほど近傍ピンの影響が強くなり 小さいほどなだらかに広がります。,Adjusts how rigidly the area around a pin holds its shape. Higher values concentrate the effect near each pin; lower values spread it smoothly.,调整图钉周围变形的硬度。值越大附近图钉的影响越强 越小变形越平滑。,調整圖釘周圍變形的硬度。值越大附近圖釘的影響越強 越小變形越平滑。,핀 주변 변형의 강도를 조정합니다. 값이 클수록 근처 핀의 영향이 강해지고 작을수록 부드럽게 퍼집니다.,Ajusta la rigidez del área alrededor del alfiler. Valores altos concentran el efecto cerca del alfiler; valores bajos lo difunden.,يضبط مدى صلابة المنطقة حول الدبوس. القيم الأعلى تركّز التأثير قرب الدبوس والأقل توزّعه بسلاسة.,Menyesuaikan kekakuan area di sekitar pin. Nilai lebih besar memusatkan efek di sekitar pin; lebih kecil menyebarkannya dengan halus.
PuppetDeformationEnabledName,,有効,Enable,启用,啟用,사용,Activar,تفعيل,Aktif
PuppetDeformationEnabledDesc,,このピンの移動を有効にします。無効の場合、ピンは固定アンカーとして変形を抑制します。,Enables movement for this pin. When disabled the pin acts as a fixed anchor that resists deformation.,启用此图钉的移动。禁用时图钉作为固定锚点抑制变形。,啟用此圖釘的移動。停用時圖釘作為固定錨點抑制變形。,이 핀의 이동을 활성화합니다. 비활성화 시 핀은 고정 앵커로 변형을 억제합니다.,Activa el movimiento de este alfiler. Desactivado actúa como ancla fija que resiste la deformación.,تفعيل تحريك هذا الدبوس. عند التعطيل يعمل الدبوس كمرساة ثابتة تقاوم التشويه.,Mengaktifkan pergerakan pin ini. Jika dinonaktifkan pin bertindak sebagai jangkar tetap yang menahan deformasi.
PuppetDeformationRestXName,,基準X,Anchor X,基准X,基準X,기준 X,Ancla X,المرجع X,Jangkar X
PuppetDeformationRestXDesc,,ピンを打つ元の位置 (X座標)。画像上でピンが固定される基準点です。,The original X position where the pin is placed. This is the anchor that the image follows.,图钉的原始X位置。这是图像跟随的锚点。,圖釘的原始X位置。這是圖像跟隨的錨點。,핀의 원래 X 위치. 이미지가 따라가는 기준점입니다.,Posición X original donde se coloca el alfiler. Es el ancla que sigue la imagen.,موضع X الأصلي للدبوس. هو المرجع الذي تتبعه الصورة.,Posisi X asli tempat pin diletakkan. Ini adalah jangkar yang diikuti gambar.
PuppetDeformationRestYName,,基準Y,Anchor Y,基准Y,基準Y,기준 Y,Ancla Y,المرجع Y,Jangkar Y
PuppetDeformationRestYDesc,,ピンを打つ元の位置 (Y座標)。画像上でピンが固定される基準点です。,The original Y position where the pin is placed. This is the anchor that the image follows.,图钉的原始Y位置。这是图像跟随的锚点。,圖釘的原始Y位置。這是圖像跟隨的錨點。,핀의 원래 Y 위치. 이미지가 따라가는 기준점입니다.,Posición Y original donde se coloca el alfiler. Es el ancla que sigue la imagen.,موضع Y الأصلي للدبوس. هو المرجع الذي تتبعه الصورة.,Posisi Y asli tempat pin diletakkan. Ini adalah jangkar yang diikuti gambar.
PuppetDeformationOffsetXName,,移動X,Move X,移动X,移動X,이동 X,Mover X,تحريك X,Pindah X
