Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ShuffleTextEffectDefaultName,,シャッフルテキスト,Shuffle text,洗牌文本,洗牌文本,셔플 텍스트,Texto de barajar,نص مختلط,Teks acak,
ShuffleTextEffectGroupName_ShuffleText,,シャッフルテキスト,Shuffle text,洗牌文本,洗牌文本,셔플 텍스트,Texto de barajar,نص مختلط,Teks acak,
ShuffleTextEffectGroupName_AnimationText,,アニメーションテキスト,Animation text,动画文本,動畫文本,애니메이션 텍스트,Texto de animación,نص الرسوم المتحركة,Teks animasi,
ShuffleTextEffectDisplayName_Interval,,間隔,Interval,间隔,間隔,간격,Intervalo,فاصل,Interval,
ShuffleTextEffectDisplayName_Delay,,ずれ,Delay,偏移,偏移,오차,Retraso,تأخير,Jarak,
ShuffleTextEffectDisplayName_DisplayText,,表示テキスト,Display text,显示文本,顯示文本,표시 텍스트,Texto de visualización,نص العرض,Teks tampilan,
ShuffleTextEffectDisplayName_Alphabet_Upper,,A-Z,A-Z,A-Z,A-Z,A-Z,A-Z,A-Z,A-Z,
ShuffleTextEffectDisplayName_Alphabet_Lower,,a-z,a-z,a-z,a-z,a-z,a-z,a-z,a-z,
ShuffleTextEffectDisplayName_Hirakana,,ひらがな,Hiragana,平假名,平假名,히라가나,hiragana,Hiragana,Hiragana,
ShuffleTextEffectDisplayName_Katakana,,カタカナ,Katakana,片假名,片假名,가타카나,katakana,Katakana,Katakana,
ShuffleTextEffectDisplayName_Kanji,,漢字,Kanji,汉字,漢字,한자,kanji,Kanji,Kanji,
ShuffleTextEffectDisplayName_Number,,数字,Number,数字,數位,숫자,numbers,رقم,angka,
ShuffleTextEffectDisplayName_Symbol,,記号,Symbol,符号,象徵,기호,symbol,رمز,simbol,
ShuffleTextEffectDisplayName_Text,,テキスト,Text,文本,文本,텍스트,text,نص,teks,
ShuffleTextEffectDisplayName_Font,,フォント,Font,字体,字體,글꼴,fuente,خط,Font,
ShuffleTextEffectDisplayName_Size,,サイズ,Size,大小,大小,크기,tamaño,حجم,Ukuran,
ShuffleTextEffectDisplayName_Color,,文字色,Text color,文字顏色,文字顏色,글자 색상,color de texto,لون النص,Warna teks,
ShuffleTextEffectDisplayName_Bold,,太字,Bold,粗体,粗體,굵은 글씨,bold,خط عريض,Bold,
ShuffleTextEffectDisplayName_Italic,,イタリック,Italic,斜体,斜體,이탤릭체,Itálico,خط مائل,Miring,

ShuffleTextEffectDiscription_Interval,,アニメーションテキストが変化する間隔,Interval,动画文本变化间隔,間隔,간격,Intervalo,فاصل,Interval,
ShuffleTextEffectDiscription_Delay,,アニメーションテキストの文字ごとのずれ,Delay,动画文本字符偏移,偏移,오차,Retraso,تأخير,Jarak,
ShuffleTextEffectDiscription_DisplayText,,アニメーションテキストの表示内容,Display texts,动画文本显示内容,顯示文本,표시 텍스트,Texto de visualización,نص العرض,Teks tampilan,
ShuffleTextEffectDiscription_Alphabet_Upper,,アルファベット大文字,A-Z,大写英文字母,A-Z,A-Z,A-Z,A-Z,A-Z,
ShuffleTextEffectDiscription_Alphabet_Lower,,アルファベット小文字,a-z,小写英文字母,a-z,a-z,a-z,a-z,a-z,
ShuffleTextEffectDiscription_Hirakana,,ひらがな,Hiragana,平假名,平假名,히라가나,hiragana,Hiragana,Hiragana,
ShuffleTextEffectDiscription_Katakana,,カタカナ,Katakana,片假名,片假名,가타카나,katakana,Katakana,Katakana,
ShuffleTextEffectDiscription_Kanji,,漢字,Kanji,汉字,漢字,한자,kanji,Kanji,Kanji,
ShuffleTextEffectDiscription_Number,,数字,Number,数字,數位,숫자,numbers,رقم,angka,
ShuffleTextEffectDiscription_Symbol,,記号,Symbol,符号,象徵,기호,symbol,رمز,simbol,
ShuffleTextEffectDiscription_Text,,シャッフルするテキスト,Text,文本,文本,텍스트,text,نص,teks,
ShuffleTextEffectDiscription_Font,,フォント,Font,字体,字體,글꼴,fuente,خط,Font,
ShuffleTextEffectDiscription_Size,,文字の大きさ,Font size,字体大小,字體大小,글꼴 크기,tamaño de fuente,حجم الخط,Ukuran font,
ShuffleTextEffectDiscription_Color,,文字の色,Text color,文字顏色,文字顏色,글자 색상,color de texto,لون النص,Warna teks,
ShuffleTextEffectDiscription_Bold,,太字,Bold,粗体,粗體,굵은 글씨,bold,خط عريض,Bold,
ShuffleTextEffectDiscription_Italic,,斜体・イタリック,Italic,斜体,斜體,이탤릭체,Itálico,خط مائل,Miring,

ShuffleTextEffectUnit_Seconds,,秒,sec,秒,秒,초,Segundos,ثانية,dtk,

ShuffleTextEffectEnum_Mode_Alphabet,,アルファベット（A-z）, Alphabet (A-z),字母（A-z）,字母（A-z）,알파벳 (A-z),Alfabeto (A-z),الأبجدية (A-z),Alfabet (A-z),
ShuffleTextEffectEnum_Mode_Number,,数字（0-9）, Number (0-9),数字（0-9）,數字（0-9）,숫자 (0-9),Número (0-9),رقم (0-9),Angka (0-9),
ShuffleTextEffectEnum_Mode_Symbol,,記号, Symbol,符号,象徵,기호, símbolo,رمز,Simbol,
ShuffleTextEffectEnum_Mode_Custom,,カスタム, Custom,自定义,自定義,사용자 정의,Personalizado,مخصص,Kustom,

ShuffleTextEffectEnum_Mode_Discription_Alphabet,,アルファベット（大文字・小文字）, Alphabet (uppercase and lowercase),字母（大小写）,字母（大寫和小寫）,알파벳 (대문자 및 소문자),Alfabeto (mayúsculas y minúsculas),الأبجدية (حروف كبيرة وصغيرة),Alfabet (huruf besar dan kecil),
ShuffleTextEffectEnum_Mode_Discription_Number,,数字（0-9）, Number (0-9),数字（0-9）,數字（0-9）,숫자 (0-9),Número (0-9),رقم (0-9),Angka (0-9),
ShuffleTextEffectEnum_Mode_Discription_Symbol,,記号, Symbol,符号,象徵,기호, símbolo,رمز,Simbol,
ShuffleTextEffectEnum_Mode_Discription_Custom,,カスタム, Custom,自定义,自定義,사용자 정의,Personalizado,مخصص,Kustom,
