Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
VignetteBlur,,周辺ぼけ光量,Vignette Blur,周边模糊光量,周邊模糊光量,주변 흐림 효과,Desenfoque de viñeta,تشويش الفينيت,Blur vignette,
X,,X,X,X,X,X,X,X,X,X,
Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Radius,,半径,Radius,半径,半徑,반경,Radio,نصف القطر,Jari-jari,
Aspect,,縦横比,Aspect Ratio,宽高比,寬高比,종횡비,Relación de aspecto,نسبة العرض إلى الارتفاع,Rasio aspek,
Softness,,境界幅,Softness,柔和度,柔和度,부드러움,Suavidad,نعومة,Kelembutan,
Blur,,ぼかし,Blur,模糊,模糊,블러,Desenfoque,تشويش,Pemudaran,
Lightness,,明るさ,Lightness,亮度,亮度,밝기,Brillo,إضاءة,Kecerahan,
ColorShift,,色ずれ,Color Shift,色偏移,色偏移,색상 이동,Cambio de color,تحول اللون,Perubahan Warna,
Area,,範囲,Area,区域,區域,영역,Área,منطقة,Lingkup,
FixedSize,,サイズを固定,Fixed Size,固定大小,固定大小,고정 크기,Tamaño fijo,Tamaño fijo,Ukuran Tetap,
GaussianBlur,,ガウスぼかし,Gaussian Blur,高斯模糊,高斯模糊,가우시안 블러,Desenfoque gaussiano,تشويش غاوسي,Pemudaran Gaussian,
RadialBlur,,放射ブラー,Radial Blur,径向模糊,徑向模糊,방사형 블러,Desenfoque radial,تشويش شعاعي,Pemudaran Radial,
CircularBlur,,回転ブラー,Circular Blur,圆形模糊,圓形模糊,원형 블러,Desenfoque circular,تشويش دائري,Pemudaran Sirkular,
BlurMode,,種類,Mode,模式,模式,모드,Modo,وضع,Mode,
