Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
WaveClipping,,ウェーブクリッピング,Wave Clipping,波浪裁剪,波浪裁剪,웨이브 클리핑,Recorte de onda,قص الموجة,Gelombang Kliping,
TagWave,,波,Wave,波,波,파도,Onda,موجة,Gelombang,
TagClipping,,クリッピング,Clipping,裁剪,裁剪,클리핑,Recorte,قص,Kliping,
TagWaveKatakana,,ウェーブ,Wave,波浪,波浪,웨이브,Onda,موجة,Gelombang,
Mode,,モード,Mode,模式,模式,모드,Modo,وضع,Mode,
ModeDescription,,クリッピングのモードを選択します,Select the clipping mode.,选择裁剪模式。,選擇裁剪模式。,클리핑 모드를 선택합니다.,Seleccione el modo de recorte.,حدد وضع القص.,Pilih mode kliping.,
ClipPosition,,クリップ位置,Clip Position,裁剪位置,裁剪位置,클립 위치,Posición de recorte,موضع القص,Posisi Klip,
ClipPositionDescription,,ウェーブ境界の垂直位置 (0–100%),Vertical position of the wave boundary (0-100%),波形边界的垂直位置 (0-100%),波形邊界的垂直位置 (0-100%),웨이브 경계의 수직 위치 (0-100%),Posición vertical del límite de la onda (0-100%),الموضع العمودي لحدود الموجة (0-100%),Posisi vertikal batas gelombang (0-100%),
BandWidth,,バンド幅,Band Width,频带宽度,頻帶寬度,대역폭,Ancho de banda,عرض النطاق,Lebar Pita,
BandWidthDescription,,双方向モードにおけるバンドの幅 (0–100%),Width of the band in bidirectional mode (0-100%),双向模式下的带宽度 (0-100%),雙向模式下的帶寬度 (0-100%),양방향 모드에서의 대역폭 (0-100%),Ancho de la banda en modo bidireccional (0-100%),عرض النطاق في الوضع ثنائي الاتجاه (0-100%),Lebar pita dalam mode dua arah (0-100%),
Amplitude,,振幅,Amplitude,振幅,振幅,진폭,Amplitud,سعة,Amplitudo,
