Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ZoomPixel,,拡大縮小（ピクセル）,Scaling (Pixels),缩放（像素）,縮放（像素）,확대/축소 (픽셀),Escalado (píxeles),التكبير/التصغير (بكسل),Skala (Piksel),
Mode,,形式,Format,格式,格式,형식,Formato,صيغة,Format,
Width,,幅,Width,宽度,寬度,폭,Ancho,عرض,Lebar,
Height,,高さ,Height,高度,高度,높이,Altura,ارتفاع,Tinggi,
Dot,,ドット絵,Pixel Art,像素画,像素畫,도트 그림,Arte de píxeles,فن البكسل,Seni Piksel,
BothStretch,,幅と高さ,Width and Height,宽度和高度,寬度和高度,폭과 높이,Ancho y altura,العرض والارتفاع,Lebar dan Tinggi,
WidthStretch,,幅,Width,宽度,寬度,폭,Ancho,عرض,Lebar,
HeightStretch,,高さ,Height,高度,高度,높이,Altura,ارتفاع,Tinggi,
BothFit,,範囲内に納める,Fit Within Range,限制在范围内,限制在範圍內,범위 내에 맞추기,Encajar dentro del rango,وضع ضمن النطاق,Muat dalam Rentang,
BothFill,,範囲内を満たす,Fill Within Range,填满范围内,填滿範圍內,범위 내 채우기,Llenar dentro del rango,ملء ضمن النطاق,Isi dalam Rentang,
