Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Model3D,,3Dモデル,3D Model,3D模型,3D模型,3D 모델,Modelo 3D,نموذج ثلاثي الأبعاد,Model 3D,
FilterName,,3Dモデルファイル,3D Model File,3D模型文件,3D模型檔案,3D 모델 파일,Archivo de modelo 3D,ملف نموذج ثلاثي الأبعاد,File model 3D,
Group_Model,,モデル,Model,模型,模型,모델,Modelo,النموذج,Model,
Group_Placement,,配置,Placement,布置,佈置,배치,Colocación,التموضع,Penempatan,
Group_Light,,ライト,Light,灯光,燈光,조명,Luz,الإضاءة,Cahaya,
File,,ファイル,File,文件,檔案,파일,Archivo,ملف,File,
BaseColor,,基本色,Base color,基本色,基本色,기본 색상,Color base,اللون الأساسي,Warna dasar,
Projection,,投影方法,Projection,投影方式,投影方式,투영 방식,Proyección,الإسقاط,Proyeksi,
Projection_Parallel,,平行投影,Orthographic,平行投影,平行投影,평행 투영,Ortográfica,متعامد,Ortografis,
Projection_Perspective,,透視投影,Perspective,透视投影,透視投影,원근 투영,Perspectiva,منظوري,Perspektif,
X,,X,X,X,X,X,X,X,X,
Y,,Y,Y,Y,Y,Y,Y,Y,Y,
Z,,Z,Z,Z,Z,Z,Z,Z,Z,
Fov,,視野角,Field of view,视野角,視野角,시야각,Campo de visión,مجال الرؤية,Bidang pandang,
Scale,,拡大率,Scale,缩放,縮放,크기,Escala,المقياس,Skala,
RotationX,,X軸回転,Rotation X,X轴旋转,X軸旋轉,X축 회전,Rotación X,دوران X,Rotasi X,
RotationY,,Y軸回転,Rotation Y,Y轴旋转,Y軸旋轉,Y축 회전,Rotación Y,دوران Y,Rotasi Y,
RotationZ,,Z軸回転,Rotation Z,Z轴旋转,Z軸旋轉,Z축 회전,Rotación Z,دوران Z,Rotasi Z,
IsLightEnabled,,ライト,Light,灯光,燈光,조명,Luz,الإضاءة,Cahaya,
LightType,,ライトの種類,Light type,灯光类型,燈光類型,조명 종류,Tipo de luz,نوع الإضاءة,Jenis cahaya,
LightType_Point,,点光源,Point,点光源,點光源,점 광원,Puntual,نقطي,Titik,
LightType_Spot,,スポットライト,Spot,聚光灯,聚光燈,스포트라이트,Foco,بقعي,Sorot,
LightType_Sun,,平行光源,Directional,平行光源,平行光源,평행 광원,Direccional,اتجاهي,Terarah,
LightType_Area,,面光源,Area,面光源,面光源,면 광원,De área,مساحي,Area,
LightX,,ライトX,Light X,灯光X,燈光X,조명 X,Luz X,ضوء X,Cahaya X,
LightY,,ライトY,Light Y,灯光Y,燈光Y,조명 Y,Luz Y,ضوء Y,Cahaya Y,
LightZ,,ライトZ,Light Z,灯光Z,燈光Z,조명 Z,Luz Z,ضوء Z,Cahaya Z,
MaxFileSize,,最大ファイルサイズ,Maximum file size,最大文件大小,最大檔案大小,최대 파일 크기,Tamaño máximo de archivo,الحد الأقصى لحجم الملف,Ukuran file maksimum,
MaxFileSizeDescription,,読み込みを許可するモデルファイルの上限サイズ,Upper size limit of model files allowed to load,允许加载的模型文件的上限大小,允許載入的模型檔案的上限大小,불러오기를 허용하는 모델 파일의 상한 크기,Tamaño límite de los archivos de modelo permitidos,الحد الأقصى لحجم ملفات النموذج المسموح بتحميلها,Batas ukuran file model yang boleh dimuat,
MaxVertices,,最大頂点数,Maximum vertices,最大顶点数,最大頂點數,최대 정점 수,Vértices máximos,الحد الأقصى للرؤوس,Verteks maksimum,
MaxVerticesDescription,,1モデルあたりに許可する頂点数の上限,Upper limit of vertices allowed per model,每个模型允许的顶点数上限,每個模型允許的頂點數上限,모델 1개당 허용하는 정점 수의 상한,Límite de vértices permitidos por modelo,الحد الأقصى للرؤوس المسموح بها لكل نموذج,Batas jumlah verteks per model,
MaxIndices,,最大インデックス数,Maximum indices,最大索引数,最大索引數,최대 인덱스 수,Índices máximos,الحد الأقصى للفهارس,Indeks maksimum,
MaxIndicesDescription,,1モデルあたりに許可するインデックス数の上限,Upper limit of indices allowed per model,每个模型允许的索引数上限,每個模型允許的索引數上限,모델 1개당 허용하는 인덱스 수의 상한,Límite de índices permitidos por modelo,الحد الأقصى للفهارس المسموح بها لكل نموذج,Batas jumlah indeks per model,
MaxParts,,最大パーツ数,Maximum parts,最大部件数,最大部件數,최대 파츠 수,Partes máximas,الحد الأقصى للأجزاء,Bagian maksimum,
MaxPartsDescription,,1モデルあたりに許可するパーツ数の上限,Upper limit of parts allowed per model,每个模型允许的部件数上限,每個模型允許的部件數上限,모델 1개당 허용하는 파츠 수의 상한,Límite de partes permitidas por modelo,الحد الأقصى للأجزاء المسموح بها لكل نموذج,Batas jumlah bagian per model,
MaxGpuMemoryPerModel,,最大GPUメモリ,Maximum GPU memory,最大GPU内存,最大GPU記憶體,최대 GPU 메모리,Memoria GPU máxima,الحد الأقصى لذاكرة معالج الرسوميات,Memori GPU maksimum,
MaxGpuMemoryPerModelDescription,,1モデルあたりに許可するGPUメモリの上限,Upper limit of GPU memory allowed per model,每个模型允许的GPU内存上限,每個模型允許的GPU記憶體上限,모델 1개당 허용하는 GPU 메모리의 상한,Límite de memoria GPU permitida por modelo,الحد الأقصى لذاكرة معالج الرسوميات لكل نموذج,Batas memori GPU per model,
