Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Number,,数値,Number,数字,数字,숫자,Número,رقم,Nomor,
Value,,値,Value,值,值,값,Valor,قيمة,Nilai,
ValueToDisplay,,表示する値,Value to display,显示值,显示值,표시할 값,Valor a mostrar,قيمة للعرض,Nilai untuk ditampilkan,
IntegerDigits,,整数桁数,Integer digits,整数位数,整数位数,정수 자릿수,Número entero,عدد الأرقام الصحيحة,Angka bulat,
DecimalDigits,,小数桁数,Decimal digits,小数位数,小数位数,소수 자릿수,Número decimal,عدد الأرقام العشرية,Desimal,
ThousandsSeparator,,千位区切り,Thousands separator,千位分隔符,千位分隔符,천 단위 구분 기호,Número de miles,فاصل الآلاف,Ribuan,
Font,,フォント,Font,字体,字体,글꼴,Fuente,خط,Font,
Size,,サイズ,Size,大小,大小,크기,Tamaño,حجم,Ukuran,
SizeOfCharacters,,文字の大きさ,Size of characters,字符大小,字符大小,문자 크기,Tamaño de caracteres,حجم الأحرف,Ukuran karakter,
Justification,,文字揃え,Justification,对齐方式,对齐方式,정렬,Nivelación,محاذاة,Penyelarasan,
ColorOfCharacters,,文字色,Color of characters,字符颜色,字符颜色,문자 색상,Color de caracteres,لون الأحرف,Warna karakter,
Bold,,太字,Bold,粗体,粗体,굵은 글씨,Número en negrita,خط عريض,Nebold,
Italic,,イタリック,Italic,斜体,斜体,이탤릭체,Número en cursiva,خط مائل,Numer Italic,
BasePointRightBottom,,右揃え　[下],Align right [bottom],右对齐 [下],靠右對齊 [下],오른쪽 정렬 [아래],Alinear a la derecha [abajo].,محاذاة لليمين [أسفل],Rata kanan [bawah],
BasePointRightTop,,右揃え　[上],Align right [top],右对齐 [上],靠右對齊 [上],오른쪽 정렬 [위],Alinear a la derecha [arriba].,محاذاة إلى اليمين [أعلى],Rata kanan [atas],
BasePointRightCenter,,右揃え　[中],Align right [medium],右对齐 [中],靠右對齊 [中],오른쪽 정렬 [가운데],Alinear a la derecha [centro].,محاذاة إلى اليمين [متوسط],Rata kanan [tengah],
BasePointLeftBottom,,左揃え　[下],Align left [bottom],左对齐 [下],靠左對齊 [下],왼쪽 정렬 [아래],Alinear a la izquierda [abajo].,محاذاة اليسار [أسفل],Rata kiri [bawah],
BasePointLeftTop,,左揃え　[上],Align left [top],左对齐 [上],靠左對齊 [上],왼쪽 정렬 [위],Alinear a la izquierda [arriba].,محاذاة إلى اليسار [الأعلى],Rata kiri [atas],
BasePointLeftCenter,,左揃え　[中],Align left [middle],左对齐 [中],靠左對齊 [中],왼쪽 정렬 [중],Alinear izquierda [medio].,محاذاة لليسار [الوسط],Rata kiri [tengah],
BasePointCenterBottom,,中央揃え[下],Align center [bottom],居中[下],置中對齊[下],중앙 정렬[아래],Centrado [Abajo].,محاذاة المركز [أسفل],Rata tengah [bawah],
BasePointCenterTop,,中央揃え[上],Align center [top],居中[上],置中對齊[上],중앙 정렬[위],Alinear centro [Arriba] Alinear centro [Abajo] Alinear centro [Arriba,محاذاة المنتصف [أعلى],Rata tengah [atas],
BasePointCenterCenter,,中央揃え[中],Align center [middle],居中[中],置中對齊[中],중앙 정렬[가운데],Centrado [Medio].,محاذاة للوسط [منتصف],Rata tengah [tengah],
