Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
OpenFxShapeName,,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,OpenFX,
OpenFxShapePluginName,,プラグイン,Plugin,插件,外掛程式,플러그인,Plugin,ملحق,Plugin,
OpenFxShapePluginDesc,,使用するOpenFXプラグイン,OpenFX plugin to use,使用的OpenFX插件,使用的OpenFX外掛程式,사용할 OpenFX 플러그인,Plugin OpenFX a utilizar,ملحق OpenFX المراد استخدامه,Plugin OpenFX yang digunakan,
OpenFxShapeSizeModeName,,サイズ指定,Size specification,指定大小,指定大小,크기 설정,Especificar tamaño,تحديد الحجم,Menentukan ukuran,
OpenFxShapeSizeModeDesc,,サイズの指定方法,How to specify size,大小的指定方法,大小的指定方法,크기 설정 방법,Cómo especificar el tamaño,كيفية تحديد الحجم,Cara menentukan ukuran,
OpenFxShapeSizeModeSizeAspectName,,サイズとアスペクト比,Size and aspect ratio,大小与长宽比,大小與長寬比,크기와 종횡비,Tamaño y relación de aspecto,الحجم ونسبة العرض والطول,Ukuran dan rasio aspek,
OpenFxShapeSizeModeWidthHeightName,,幅と高さ,Width and height,宽度和高度,寬度和高度,너비와 높이,Anchura y altura,العرض والارتفاع,Lebar dan tinggi,
OpenFxShapeSizeName,,サイズ,Size,大小,大小,크기,Talla,الحجم,Ukuran,
OpenFxShapeSizeDesc,,図形の大きさ,Size of figure,图形大小,圖形大小,도형 크기,Tamaño de la figura,حجم الشكل,Ukuran figur,
OpenFxShapeAspectRateName,,縦横比,Aspect ratio,长宽比,長寬比,종횡비,relación de aspecto,نسبة العرض إلى الارتفاع,Rasio aspek,
OpenFxShapeAspectRateDesc,,縦横比,Aspect ratio,长宽比,長寬比,종횡비,relación de aspecto,نسبة العرض إلى الارتفاع,Rasio aspek,
OpenFxShapeWidthName,,幅,Width,宽度,寬度,너비,Anchura,العرض,Lebar,
OpenFxShapeWidthDesc,,横方向の大きさ,Horizontal size,水平方向尺寸,水平方向大小,가로 크기,Tamaño horizontal,الحجم الأفقي,Lebar horizontal,
OpenFxShapeHeightName,,高さ,Height,高度,高度,높이,Alta,الارتفاع,Tinggi,
OpenFxShapeHeightDesc,,縦方向の大きさ,Vertical size,垂直方向尺寸,垂直方向大小,세로 방향의 크기,Tamaño vertical,الحجم العمودي,Ukuran vertikal,
