Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Pen,,手書きペン,Handwriting Pen,手写笔,手寫筆,필기 펜,Bolígrafo de escritura,قلم الكتابة اليدوية,Pena,
OpenPenTool,,ペンツールを開く,Open Pen Tool,打开笔工具,開啟筆工具,펜 도구 열기,Abrir herramienta de pluma,فتح أداة القلم,Buka pena,
Undo,,元に戻す,Undo,撤销,撤銷,실행 취소,Deshacer,تراجع,Urung,
Redo,,やり直す,Redo,重做,重做,다시 실행,Rehacer,إعادة,Ulang,
BallPen,,ボールペン,Ball Pen,圆珠笔,圓珠筆,볼펜,Bolígrafo de bola,قلم الكرة,Bola pena,
Highlighter,,蛍光ペン,Highlighter,荧光笔,螢光筆,형광펜,Marcador,محدد,Stabilo,
Eraser,,消しゴム,Eraser,橡皮擦,橡皮擦,지우개,Borrador,ممحاة,Penghapus,
Select,,なげなわ選択,Select,选择,選擇,선택,Seleccionar,اختيار,Pilih,
EraserByPoint,,消しゴム（点）,Eraser (Point),橡皮擦（点）,橡皮擦（點）,지우개(점),Borrador (Punto),ممحاة (نقطة),Penghapus (Titik),
EraserByStroke,,消しゴム（線）,Eraser (Stroke),橡皮擦（线）,橡皮擦（線）,지우개(선),Borrador (Trazo),ممحاة (خط),Penghapus (Goresan),
Import,,インポート,Import,导入,導入,가져오기,Importar,استيراد,Impor,
Export,,エクスポート,Export,导出,導出,내보내기,Exportar,تصدير,Ekspor,
SaveImage,,画像ファイルを保存,Save Image File,保存图像文件,保存圖像檔案,이미지 파일로 저장,Guardar archivo de imagen,حفظ ملف الصورة,Simpan file gambar,
ExportAsIsf,,.isfとしてエクスポート,Export as .isf,导出为 .isf,導出為 .isf,.isf로 내보내기,Exportar como .isf,تصدير كـ .isf,Ekspor sebagai .isf,
PenToolWindowTitle,,ペンツール,Ink Pen Tool,笔工具,筆工具,펜 도구,Ink Pen Tool,أداة القلم,Alat pena,
Close,,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق,Tutup,
Thickness,,太さ,Thickness,粗细,粗細,굵기,Grosor,سمك,Ketebalan,
Offset,,位置,Offset,位置,位置,위치,Desplazamiento,الإزاحة,Pergeseran,
Length,,長さ,Length,长度,長度,길이,Longitud,الطول,Panjang,
Pressure,,筆圧,Pressure,压力,壓力,압력,Presión,الضغط,Tekanan,
SaveFileFailed,,ファイルの保存に失敗しました。管理者権限が必要なフォルダに保存しようとしたか、ファイルが読み取り専用になっている可能性があります。,"Failed to save the file. You may have tried to save to a folder that requires administrator privileges, or the file may be read-only.",保存文件失败。可能尝试保存到需要管理员权限的文件夹，或者文件为只读。,儲存檔案失敗。可能嘗試儲存到需要管理員權限的資料夾，或檔案為唯讀。,파일 저장에 실패했습니다. 관리자 권한이 필요한 폴더에 저장하려 했거나 파일이 읽기 전용일 수 있습니다.,"Error al guardar el archivo. Es posible que haya intentado guardar en una carpeta que requiere privilegios de administrador, o que el archivo sea de solo lectura.",فشل حفظ الملف. ربما حاولت الحفظ في مجلد يتطلب امتيازات المسؤول، أو أن الملف للقراءة فقط.,"Gagal menyimpan berkas. Anda mungkin mencoba menyimpan ke folder yang memerlukan hak administrator, atau berkas bersifat hanya-baca.",
LoadFileFailed,,ファイルの読み込みに失敗しました。アクセスが許可されていないか、他のアプリケーションで使用中の可能性があります。,"Failed to load the file. Access may be denied, or the file may be in use by another application.",读取文件失败。可能没有访问权限，或者文件正被其他应用程序使用。,讀取檔案失敗。可能沒有存取權限，或檔案正被其他應用程式使用。,파일을 불러오지 못했습니다. 접근이 허용되지 않았거나 다른 애플리케이션에서 사용 중일 수 있습니다.,"Error al cargar el archivo. Es posible que el acceso esté denegado o que otra aplicación esté usando el archivo.",فشل تحميل الملف. قد يكون الوصول مرفوضًا، أو أن الملف قيد الاستخدام من قبل تطبيق آخر.,"Gagal memuat berkas. Akses mungkin ditolak, atau berkas sedang digunakan oleh aplikasi lain.",
