Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Notepad,,メモ帳,Notepad,记事本,記事本,메모장,Bloc de notas,المفكرة,Catatan,
Open,,開く,Open,打开,打開,열기,Abrir,فتح,Buka,
Save,,保存,Save,保存,保存,저장,Guardar,حفظ,Simpan,
SaveAs,,名前を付けて保存,Save As,另存为,另存為,다른 이름으로 저장,Guardar como,حفظ باسم,Simpan Sebagai,
TextFile,,テキストファイル,Text File,文本文件,文字檔,텍스트 파일,Archivo de texto,ملف نصي,Berkas Teks,
FailedToOpenFile,,ファイルの読み込みに失敗しました。,Failed to open file.,无法打开文件。,無法打開檔案。,파일을 여는 데 실패했습니다.,No se pudo abrir el archivo.,فشل في فتح الملف.,Gagal membuka berkas.,
FailedToSaveFile,,ファイルの保存に失敗しました。,Failed to save file.,无法保存文件。,無法保存檔案。,파일 저장에 실패했습니다.,No se pudo guardar el archivo.,فشل في حفظ الملف.,Gagal menyimpan berkas.,
Error,,エラー,Error,错误,錯誤,오류,Error,خطأ,Error,
Untitled,,無題,Untitled,未命名,未命名,제목 없음,Sin título,غير معنونة,Tanpa judul,
OpenNewTab,,新しいタブを開く,Open New Tab,打开新标签页,打開新分頁,새 탭 열기,Abrir pestaña nueva,فتح علامة تبويب جد��دة,Buka Tab Baru,
