Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
PluginPortal,,プラグインポータル,Plugin Portal,插件门户站,插件入口,플러그인 포털,Portal de complementos,بوابة الإضافات,Portal Plugin,
Author,,作者,Author,作者,作者,작성자,Autor,المؤلف,Penulis,
Type,,種類,Type,类型,類型,유형,Tipo,النوع,Jenis,
Date, ,公開日,Date,发布日期,發布日期,날짜,Fecha,التاريخ,Tanggal,
URL,,URL,URL,URL,URL,URL,URL,URL,URL,
Description,,説明,Description,描述,描述,설명,Descripción,الوصف,Deskripsi,
IsEnabled,,配布終了,Discontinued,已停止分发,已停止發佈,배포 종료,Descontinuado,تم إيقاف التوزيع,Dihentikan,
DownloadFromGitHub,,GitHubからダウンロード,Download from GitHub,从GitHub下载,從GitHub下載,GitHub에서 다운로드,Descargar desde GitHub,التنزيل من GitHub,Unduh dari GitHub,
Search,,検索,Search,搜索,搜尋,검색,Cerrar,إغلاق,Tutup,
InstallDownloaded,,ダウンロード済みをインストール,Install Downloaded,安装已下载,安裝已下載,다운로드한 항목 설치,Instalar descargado,تثبيت الذي تم تنزيله,Pasang yang Diunduh,

InvalidGitHubURL,,無効なGitHub URLです。,Invalid GitHub URL,无效的GitHub URL,無效的GitHub URL,잘못된 GitHub URL,URL de GitHub no válido,رابط GitHub غير صالح,URL GitHub tidak valid,
FetchingLatestRelease,,最新のリリースを取得中...,Fetching latest release...,最新版本获取中……,正在取得最新版本...,최신 릴리스 가져오는 중...,Obteniendo la última versión...,جاري جلب الإصدار الأخير...,Mengambil rilis terbaru...,
FailedToParseReleaseInfo,,リリース情報の解析に失敗しました。,Failed to parse release info.,版本信息解析失败。,無法解析版本資訊。,릴리스 정보 구문 분석 실패.,No se pudo analizar la información de la versión.,فشل في تحليل معلومات الإصدار.,Gagal mengurai info rilis.,
NoYmmeFileFoundInTheLatestRelease,,最新リリースに .ymme ファイルが見つかりませんでした。,No .ymme file found in the latest release.,在最新版本中未找到 .ymme 文件。,在最新版本中未找到 .ymme 檔案.,최신 릴리스에 .ymme 파일이 없습니다.,No se encontró el archivo .ymme en la última versión.,لم يتم العثور على ملف .ymme في الإصدار الأخير.,Tidak ditemukan file .ymme di rilis terbaru.,
DownloadingFile,,{0} をダウンロード中...,Downloading {0}...,{0}下载中……,正在下載 {0}..., {0} 다운로드 중...,Descargando {0}...,جارٍ تنزيل {0}...,Mengunduh {0}...,
DownloadCompleted,,ダウンロード完了: {0},Download completed: {0},下载完成：{0},下載完成: {0},다운로드 완료: {0},Descarga completada: {0},اكتمل التنزيل: {0},Unduhan selesai: {0},
FailedToFetchReleaseInfo,,エラー: リリース情報の取得に失敗しました。 ({0}),Error: Failed to fetch release info. ({0}),错误：版本信息获取失败。({0}),錯誤: 取得版本資訊失敗。 ({0}),오류: 릴리스 정보를 가져오지 못했습니다. ({0}),Error: No se pudo obtener la información de la versión. ({0}),خطأ: فشل في جلب معلومات الإصدار. ({0}),Kesalahan: Gagal mengambil info rilis. ({0}),
NetworkError,,エラー: ネットワーク接続に問題がある可能性があります。,Error: There may be a problem with your network connection.,错误：可能存在网络连接问题。,錯誤: 可能有網路連線問題。,오류: 네트워크 연결에 문제가 있을 수 있습니다.,Error: Puede haber un problema con su conexión de red.,خطأ: قد تكون هناك مشكلة في اتصال الشبكة لديك.,Kesalahan: Mungkin ada masalah dengan koneksi jaringan Anda.,
ErrorMessage,,エラー: {0},Error: {0},错误: {0},錯誤: {0},오류: {0},Error: {0},خطأ: {0},Kesalahan: {0},
FailedToLaunchInstaller,,エラー: インストーラーの起動に失敗しました。 {0},Error: Failed to launch installer. {0},错误：安装程序启动失败。 {0},錯誤: 啟動安裝程式失敗。 {0},오류: 설치 프로그램을 시작하지 못했습니다. {0},Error: No se pudo iniciar el instalador. {0},خطأ: فشل في تشغيل المثبت. {0},Kesalahan: Gagal meluncurkan penginstal. {0},
NoDownloadablePlugins,,インストール可能なダウンロード済みプラグインがありません,No downloadable plugins available for installation,没有可供安装的已下载插件,沒有可供安裝的可下載外掛程式,설치할 수 있는 다운로드 가능한 플러그인이 없습니다.,No hay complementos descargables disponibles para la instalación,لا توجد إضافات قابلة للتنزيل متاحة للتثبيت,Tidak ada plugin yang dapat diunduh untuk diinstal,
InstallAllMessage,,ダウンロード済みのプラグイン {0} 件をすべてインストールします。\nインストールを開始するにはゆっくりMovieMaker4を終了する必要があります。\n\n実行しますか？,Install all {0} downloaded plugins.\nYou need to close YMM4 to start the installation.\n\nDo you want to proceed?,正在安装全部{0}个已下载的插件。\n您需要关闭YMM4以开始安装。\n\n是否继续？,安裝所有 {0} 個下載的外掛程式。\n您需要關閉 YMM4 以開始安裝。\n\n要繼續嗎？,다운로드한 플러그인 {0}개를 모두 설치합니다.\n설치를 시작하려면 YMM4를 종료해야 합니다.\n\n실행하시겠습니까?,Instalar todos los {0} complementos descargados.\nNecesita cerrar YMM4 para iniciar la instalación.\n\n¿Desea continuar?,تثبيت جميع الإضافات التي تم تنزيلها وعددها {0}.\nتحتاج إلى إغلاق YMM4 لبدء التثبيت.\n\nهل تريد المتابعة؟,Pasang semua {0} plugin yang diunduh.\nAnda perlu menutup YMM4 untuk memulai instalasi.\n\nApakah Anda ingin melanjutkan?,
InstallAllPlugins,,プラグイン一括インストール,Install All Plugins,批量安装插件,批量安裝外掛程式,플러그인 일괄 설치,Instalar todos los complementos,تثبيت جميع الإضافات,Pasang Semua Plugin,
CancelBulkInstallation,,一括インストールはキャンセルされました。,Batch installation has been canceled.,批量安装已取消。,批量安裝已取消。,일괄 설치가 취소되었습니다.,La instalación por lotes ha sido cancelada.,تم إلغاء التثبيت بالجملة.,Instalasi batch telah dibatalkan.,
NoPluginsSelected,,インストールするプラグインが選択されませんでした。,No plugins selected for installation.,未选择要安装的插件。,未選擇要安裝的外掛程式。,설치할 플러그인이 선택되지 않았습니다.,No se seleccionaron complementos para la instalación.,لم يتم تحديد أي إضافات للتثبيت.,Tidak ada plugin yang dipilih untuk diinstal.,

PluginsToInstall,,インストールするプラグイン,Plugins to Install,要安装的插件,要安裝的外掛程式,설치할 플러그인,Complementos para instalar,الإضافات للتثبيت,Plugin untuk Dipasang,
Delete,,削除,Delete,删除,刪除,삭제,Eliminar,حذف,Hapus,
Install,,インストール,Install,安装,安裝,설치,Instalar,تثبيت,Pasang,
FileName,,ファイル名,File Name,文件名,檔案名稱,파일 이름,Nombre de archivo,اسم الملف,Nama File,
Cancel,,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,Batalkan,

IsCleanYmmeFile,,インストール後に .ymme を削除する,Delete .ymme file after installation,安装后删除 .ymme 文件,.ymme 檔案安裝後刪除,설치 후 .ymme 파일 삭제,Eliminar archivo .ymme después de la instalación,حذف ملف .ymme بعد التثبيت,Hapus file .ymme setelah instalasi,
YmmeFilePath,,.ymme の保存先,.ymme file path,.ymme文件保存位置,.ymme 檔案路徑,.ymme 파일 경로,Ruta del archivo .ymme,مسار ملف .ymme,Path file .ymme,
