Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Whisper,,Whisper（ローカル）,Whisper (Local),Whisper（本地）,Whisper（本地）,Whisper（로컬）,Susurro (local),همس (محلي),Whisper (lokal),
CreatingAudioStreamMessage,,解析対象を準備中,Preparing to parse target,解析目标准备中,准备解析目标,대상 준비 중,Preparando el objetivo,التحضير للهدف,Menyiapkan target,
LoadingWhisperModelMessage,,Whisperモデルを読み込み中,Loading Whisper model,Whisper模型加载中,加载 Whisper 模型,Whisper 모델 로드 중,Cargando el modelo de susurro,تحميل نموذج الهمس,Memuat model Whisper,
ProcessingAudioMessage,0: current 1:total 2:last text,音声を解析中 {0} / {1} {2},Processing audio {0} / {1} {2},音频解析中 {0} / {1} {2},正在解析音频 {0} / {1} {2},오디오 처리 중 {0} / {1} {2},Procesando audio {0} / {1} {2},معالجة الصوت {0} / {1} {2},Memproses audio {0} / {1} {2},
Model,,モデル,模型,模型,모델,Modelo,النموذج,Model,
Language,,言語,Language,语言,语言,언어,Idioma,اللغة,Bahasa,
RuntimeNotInstalledTitle,, "{0} が必要です","{0} Required","需要{0}","需要 {0}","{0}가 필요합니다","Se requiere {0}","مطلوب ‎{0}‎","{0} diperlukan",
RuntimeNotInstalledMessage,0: runtimeName,"必要なランタイムがインストールされていません。
この機能を利用するためには「{0}」をインストールする必要があります。

インストーラーをダウンロードし、実行しますか？","The required runtime is not installed.
To use this feature, you need to install “{0}”.

Would you like to download and run the installer now?","未安装所需的运行时。
要使用此功能，必须安装“{0}”。

是否立即下载并运行安装程序？","尚未安裝所需的執行階段。
若要使用此功能，必須安裝「{0}」。

是否要立即下載並執行安裝程式？","필요한 런타임이 설치되어 있지 않습니다.
이 기능을 사용하려면 '{0}'을(를) 설치해야 합니다.

설치 프로그램을 지금 다운로드하여 실행하시겠습니까?","No se ha instalado el runtime necesario.
Para utilizar esta función debes instalar “{0}”.

¿Deseas descargar y ejecutar el instalador ahora?","لم يتم تثبيت حزمة وقت التشغيل المطلوبة.
لاستخدام هذه الميزة يلزم تثبيت «{0}».

هل تريد تنزيل مُثبّت الحزمة وتشغيله الآن؟","Runtime yang diperlukan belum terpasang.
Untuk menggunakan fitur ini, Anda harus memasang {0}.

Apakah Anda ingin mengunduh dan menjalankan pemasang sekarang？",
RuntimeNotInstalledErrorMessage,0: runtimeName,"「{0}」がインストールされていません。","“{0}” is not installed.","未安装 “{0}”。","尚未安裝「{0}」。","'{0}'가 설치되어 있지 않습니다.","No está instalado “{0}”.","لم يتم تثبيت «{0}».","“{0}” belum terpasang。",
InstallerNotFoundMessage,0: filePath,"インストーラーが見つかりません: {0}","Installer not found: {0}","找不到安装程序: {0}","找不到安裝程式: {0}","설치 프로그램을 찾을 수 없습니다: {0}","Instalador no encontrado: {0}","لم يتم العثور على المثبّت: {0}","Instalasi tidak ditemukan: {0}",
InstallerStartFailedMessage,,インストーラーの起動に失敗しました。,"Failed to start the installer.","安装程序启动失败。","啟動安裝程式失敗。","설치 프로그램 실행에 실패했습니다.","No se pudo iniciar el instalador.","فشل بدء تشغيل المثبّت.","Gagal menjalankan installer。",
InstallerExitFailureMessage,0: exitCode,"インストールに失敗しました。ExitCode = {0}","Installation failed. ExitCode = {0}","安装失败。退出代码 = {0}","安裝失敗。結束代碼 = {0}","설치에 실패했습니다. 종료 코드 = {0}","La instalación falló. ExitCode = {0}","فشلت عملية التثبيت. رمز الخروج = {0}","Instalasi gagal. ExitCode = {0}",
NotSupportedMessage,,お使いの環境ではこの機能を使用することは出来ません,This feature is not supported in your environment,Your environment does not support this feature,您的操作环境不支持该功能,您的環境不支援此功能,이 기능은 귀하의 환경에서 지원되지 않습니다,Esta función no es compatible con su entorno,لا تدعم بيئتك هذه الميزة,Lingkungan Anda tidak mendukung fitur ini,
InstallingMessage,0: fileName, {0}をインストール中。しばらくお待ちください。インストール中はキャンセルボタンが動作しません。,Installing {0}. Please wait. The cancel button will not work during installation.,Installing {0}. Please wait. The cancel button will not work during installation.,{0}安装中。请稍候。安装期间取消按钮将无法工作。,正在安裝 {0}。請稍候。安裝期間取消按鈕將無法工作。,설치 중입니다 {0}. 잠시만 기다려 주십시오. 설치 중에는 취소 버튼이 작동하지 않습니다.,Instalando {0}. Por favor espera. El botón de cancelar no funcionará durante la instalación.,Sedang menginstal {0}。Silakan tunggu。Tombol batal tidak akan berfungsi selama instalasi。
FileSizeLimitMessage,,"YMM4がマルチバイト文字を含むパスに配置されているため、ファイルサイズが2GBを超えるモデルを読み込むことが出来ません。
2GB以下のモデルに切り替えるか、YMM4をマルチバイト文字を含まないパスへ移動させる必要があります。","Because YMM4 is located in a path that contains multibyte characters, it cannot load models whose file size exceeds 2 GB.
You need to either switch to a model under 2 GB or move YMM4 to a path that does not include multibyte characters.","YMM4位于包含多字节字符的路径中，因此无法加载文件大小超过2 GB的模型。
请切换为2 GB以下的模型，或将YMM4移动到不包含多字节字符的路径下。","由於 YMM4 位於含有多位元字元的路徑，因此無法載入大小超過 2 GB 的模型。
請切換為 2 GB 以下的模型，或將 YMM4 移動到不含多位元字元的路徑。","YMM4가 다바이트 문자가 포함된 경로에 위치해 있기 때문에 파일 크기가 2GB를 초과하는 모델을 불러올 수 없습니다.
2GB 이하의 모델로 변경하거나 YMM4를 다바이트 문자가 포함되지 않은 경로로 이동해야 합니다.","YMM4 está ubicado en una ruta que contiene caracteres multibyte, por lo que no puede cargar modelos cuyo tamaño de archivo supere los 2 GB.
Cambia a un modelo de menos de 2 GB o mueve YMM4 a una ruta que no contenga caracteres multibyte.","نظرًا لأن YMM4 موجود في مسار يحتوي على أحرف متعددة البايت، فلا يمكنه تحميل النماذج التي يتجاوز حجمها 2 جيجابايت.
عليك إما التبديل إلى نموذج بحجم أقل من ‎2‎ جيجابايت، أو نقل YMM4 إلى مسار لا يحتوي على أحرف متعددة البايت.","Karena YMM4 berada di jalur yang mengandung karakter multibyte, YMM4 tidak dapat memuat model dengan ukuran file melebihi 2 GB.
Silakan beralih ke model berukuran di bawah 2 GB atau pindahkan YMM4 ke jalur yang tidak berisi karakter multibyte。",
VoiceActivityDetection,,発話区間検出,Voice Activity Detection,语音检测,語音檢測,음성 감지,Detección de actividad de voz,كشف نشاط الصوت,Deteksi Aktivitas Suara,
