Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
ReelSpinTransitionPluginName,,リール回転,Reel Spin,转轮旋转,轉輪旋轉,릴 회전,Giro de carrete,دوران البكرة,Putaran Reel
ReelSpinTransitionLaps,,回転数,Laps,旋转圈数,旋轉圈數,회전 수,Vueltas,عدد اللفات,Jumlah putaran
ReelSpinTransitionLapsUnit,,回,turns,圈,圈,회,vueltas,لفة,putaran
ReelSpinTransitionDirection,,方向,Direction,方向,方向,방향,Dirección,الاتجاه,Arah
ReelSpinTransitionPattern,,リールの並び,Reel layout,卷轴排列,卷軸排列,릴 배열,Disposición del carrete,ترتيب البكرة,Susunan reel
ReelSpinTransitionPatternAlternateName,,交互,Alternate,交替,交替,교대,Alternado,بالتناوب,Bergantian
ReelSpinTransitionPatternGroupedName,,連続,Grouped,连续,連續,연속,Agrupado,متتالي,Berurutan
ReelSpinTransitionTile,,敷き詰め,Tile,平铺,平鋪,타일 배치,Mosaico,رصف,Ubin
ReelSpinTransitionBlur,,ブラー,Motion blur,动态模糊,動態模糊,모션 블러,Desenfoque de movimiento,تمويه الحركة,Blur gerakan
EasingTypeName,,緩急,Easing Type,缓动类型,緩動類型,이징 유형,Tipo de suavizado,نوع التخفيف,Jenis Easing
EasingTypeDesc,,アニメーションの緩急の種類を選択します。,Selects the easing curve type for the animation.,选择动画缓动曲线的类型。,選擇動畫緩動曲線的類型。,애니메이션 이징 곡선 유형을 선택합니다.,Selecciona el tipo de curva de suavizado para la animación.,يحدد نوع منحنى التخفيف للحركة.,Memilih jenis kurva easing untuk animasi.
EasingModeName,,加減速,Easing Mode,加减速模式,加減速模式,이징 모드,Modo de suavizado,وضع التخفيف,Mode Easing
EasingModeDesc,,アニメーションの加減速の方向を選択します。,Selects the acceleration direction of the easing.,选择缓动的加减速方向。,選擇緩動的加減速方向。,애니메이션의 가속·감속 방향을 선택합니다.,Selecciona la dirección de aceleración del suavizado.,يحدد اتجاه التسارع للتخفيف.,Memilih arah akselerasi easing.
