Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Speed,,読み上げ速度,Speed,速度,速度,속도,Velocidad,سرعة,Kecepatan,
Style,,スタイル,Style,风格,風格,스타일,Estilo,أسلوب,Gaya,
EmotionalIntensity,,スタイルの強さ,Emotional Intensity,情感强度,情感強度,감정 강도,Intensidad emocional,شدة العاطفة,Intensitas Emosional,
EmotionalIntensityDesc,,"選択した話者スタイルの感情表現の強弱。
数値が大きいほど、選択した話者スタイルに近い感情表現が込められた声になります。
例えば話者スタイルが「上機嫌」なら、数値が大きいほどより嬉しそうな明るい話し方になります。

一方で、話者やスタイルによっては、数値を上げすぎると発声がおかしくなったり、棒読みで不自然な声になる場合もあります。
正しく発声できる上限値は話者やスタイルごとに異なります。必要に応じて最適な値を見つけて調整してください。","Emotional Intensity of the selected speaker style.
The higher the value, the closer the voice will be to the emotional expression of the selected speaker style.
For example, if the speaker style is 'Cheerful', a higher value will result in a happier and brighter way of speaking.

However, for some speakers or styles, setting the value too high may result in unnatural speech or a robotic tone.
The maximum value for correct speech varies by speaker and style. Adjust as needed to find the optimal value.","所选说话者风格的情感强弱。
数值越大，声音的情感表达越接近所选说话者风格。
例如，如果说话者风格为“愉快”，则数值越大，说话方式就会显得越开心明亮。

然而，根据说话者和风格的不同，如果数值过高，可能会导致声音变得奇怪或不自然。
正常发音的上限值因说话者和风格而异。请按需寻找合适的数值进行调整。","所選說話者風格的情感強度。
數值越大，語音越接近所選說話者風格的情感表達。
例如，如果說話者風格是「愉快」，則數值越大，語音聽起來就越開心和明亮。

另一方面，對於某些說話者或風格，將數值設置得過高可能會導致語音不自然或機械化。
正確發聲的最大值因說話者和風格而異。根據需要調整以找到最佳值。","선택한 화자 스타일의 감정 강도입니다.
값이 높을수록 선택한 화자 스타일의 감정 표현에 가까운 음성이 됩니다.
예를 들어 화자 스타일이 '쾌활'이라면, 값이 높을수록 더 행복하고 밝은 말투가 됩니다.

그러나 일부 화자나 스타일의 경우, 값을 너무 높게 설정하면 발음이 이상해지거나 로봇 같은 목소리가 될 수 있습니다.
정확한 발음이 가능한 최대값은 화자와 스타일에 따라 다릅니다. 필요에 따라 최적의 값을 찾아 조정하세요.","Intensidad emocional del estilo de hablante seleccionado.
Cuanto mayor sea el valor, más cercana será la voz a la expresión emocional del estilo de hablante seleccionado.
Por ejemplo, si el estilo de hablante es 'Alegre', un valor más alto resultará en una forma de hablar más feliz y brillante.

Sin embargo, para algunos hablantes o estilos, establecer el valor demasiado alto puede resultar en un habla poco natural o un tono robótico.
El valor máximo para un habla correcta varía según el hablante y el estilo. Ajusta según sea necesario para encontrar el valor óptimo.","شدة العاطفة لنمط المتحدث المحدد.
كلما زادت القيمة، كانت الصوت أقرب إلى التعبير العاطفي لنمط المتحدث المحدد.
على سبيل المثال، إذا كان نمط المتحدث هو 'مبتهج'، فإن القيمة الأعلى ستؤدي إلى طريقة حديث أكثر سعادة وإشراقًا.

ومع ذلك، بالنسبة لبعض المتحدثين أو الأنماط، قد يؤدي ضبط القيمة على مستوى عالٍ جدًا إلى خطاب غير طبيعي أو نغمة آلية.
القيمة القصوى للنطق الصحيح تختلف حسب المتحدث والنمط. اضبط حسب الحاجة للعثور على القيمة المثلى.","Intensitas Emosional dari gaya pembicara yang dipilih.
Semakin tinggi nilainya, semakin dekat suara dengan ekspresi emosional dari gaya pembicara yang dipilih.
Misalnya, jika gaya pembicara adalah 'Ceriah', nilai yang lebih tinggi akan menghasilkan cara berbicara yang lebih bahagia dan cerah.

Namun, untuk beberapa pembicara atau gaya, mengatur nilai terlalu tinggi dapat menghasilkan ucapan yang tidak alami atau nada robotik.
Nilai maksimum untuk ucapan yang benar bervariasi tergantung pada pembicara dan gaya. Sesuaikan sesuai kebutuhan untuk menemukan nilai optimal.",
TempoDynamics,,テンポの緩急,Tempo Dynamics,节奏缓急,節奏動態,템포 다이내믹스,Dinámica de tempo,ديناميات الإيقاع,Dinamika Tempo,
TempoDynamicsDesc,,話す速さの緩急の強弱。数値が大きいほど、より早口で生っぽい抑揚がついた声になります。,"Tempo Dynamics of the speech. The higher the value, the faster and more natural the speech will be.","语速缓急的强度。数值越大，语速越快，语调越自然。","說話速度的起伏強度。數值越大，語速越快，語調越自然。",말하는 속도의 완급 조절 강도. 값이 높을수록 말이 더 빠르고 자연스러워집니다.,"Intensidad de las variaciones en la velocidad del habla. Cuanto mayor sea el valor, más rápida y natural será la voz.",شدة تقلبات سرعة الكلام. كلما زادت القيمة، كانت السرعة أكثر طبيعية وسرعة.,"Intensitas variasi kecepatan bicara. Semakin tinggi nilainya, semakin cepat dan alami suaranya。",
Pitch,,ピッチ,Pitch,音高,音調,피치,Tono,طبقة الصوت,Nada,
PitchDesc,,"声のピッチの高さ。
数値が大きいほど、より高いピッチの声になります。

この値を 0.0 から変更すると、合成音声の品質が劣化する場合があります。
また、生成速度が大幅に低下します。","Height of the voice pitch.
The higher the value, the higher the pitch of the voice.

Changing this value from 0.0 can degrade the quality of the synthesized speech.
It can also significantly reduce the generation speed.","语音的音高。
数值越大，语音的音调越高。

如果从0.0开始更改此值，可能会降低语音的合成质量。
生成速度也可能会显著降低。","語音音調的高度。
數值越大，語音的音調越高。

更改此值從 0.0 開始可能會降低合成語音的品質。
生成速度也可能顯著降低。","음성 피치의 높이입니다.
값이 높을수록 음성의 피치가 더 높아집니다.

이 값을 0.0에서 변경하면 합성 음성의 품질이 저하될 수 있습니다.
생성 속도도 크게 감소할 수 있습니다.","Altura del tono de voz.
Cuanto mayor sea el valor, más alto será el tono de la voz.

Cambiar este valor desde 0.0 puede degradar la calidad del habla sintetizada.
También puede reducir significativamente la velocidad de generación.","ارتفاع نغمة الصوت.
كلما زادت القيمة، كانت نغمة الصوت أعلى.

تغيير هذه القيمة من 0.0 قد يؤدي إلى تدهور جودة الكلام المُركب.
También puede reducir بشكل كبير سرعة التوليد.","Tinggi nada suara.
Semakin tinggi nilainya, semakin tinggi nada suaranya.

Mengubah nilai ini dari 0.0 dapat menurunkan kualitas ucapan yang disintesis.
Kecepatan generasi juga dapat berkurang secara signifikan.",
LeadingSilenceSeconds,,開始無音,Leading Silence Seconds,起始静默,開始靜音秒數,시작 무음 초,Segundos de silencio inicial,ثواني الصمت الأولية,Detik Keheningan Awal,
LeadingSilenceSecondsDesc,,音声先頭の無音時間の長さ,Length of silence at the beginning of the speech,语音起始前的静默时长,開始語音前的靜音時間長度,음성 시작 부분의 무음 시간 길이,Longitud del silencio al inicio del habla,طول الصمت في بداية الكلام,Panjang keheningan di awal ucapan,
