Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
SpeedName,,読み上げ速度,Speed,速度,速度,속도,Velocidad,سرعة,Kecepatan,
SpeedDesc,,値を低くすると、よりゆっくりとした、より落ち着いた音声になり、値を大きくすると、より速いペースの音声になります。極端に高い値は、生成される音声の品質に影響を与える可能性があります。,"Lower values create slower, more deliberate speech while higher values produce faster-paced speech. Extreme values can impact the quality of the generated speech.","数值越低，生成语音的节奏越慢、越从容；数值越高，生成语音的节奏越快。极端数值可能会影响语音的生成质量。","較低的數值會產生較慢、較沉穩的語音，而較高的數值則會產生較快節奏的語音。極端的數值可能會影響語音的生成品質。","낮은 값은 느리고 차분한 음성을 생성하고, 높은 값은 빠른 속도의 음성을 생성합니다. 극단적인 값은 음성 품질에 영향을 줄 수 있습니다。","Los valores bajos generan una voz más lenta y pausada, mientras que los valores altos producen una voz con un ritmo más rápido. Valores extremos pueden afectar la calidad del habla generada.","القيم المنخفضة تُنتج صوتًا أبطأ وأكثر تمهّلًا، بينما تُنتج القيم العالية صوتًا أسرع. القيم المتطرفة قد تؤثر على جودة الصوت الناتج.","Nilai rendah menghasilkan ucapan yang lebih lambat dan tenang, sedangkan nilai tinggi menghasilkan ucapan dengan kecepatan lebih tinggi. Nilai ekstrem dapat memengaruhi kualitas ucapan yang dihasilkan。",
StabilityName,,安定性,Stability,稳定性,穩定性,안정성,Estabilidad,استقرار,Stabilitas,
StabilityDesc,,音声の安定性と、各生成間のランダム性を決定します。値が小さいほど、音声の感情表現の幅が広がります。値が大きくなると、感情表現が限定された単調な音声になる可能性があります。,"Determines how stable the voice is and the randomness between each generation. Lower values introduce broader emotional range for the voice. Higher values can result in a monotonous voice with limited emotion.","决定语音的稳定性以及每次生成间的随机性。数值越低，情感表现越广泛；数值越高，情感表现受限，语音越单调。","決定語音的穩定性以及每次生成之間的隨機性。較低的數值會帶來更廣泛的情感表現，較高的數值可能會導致情感受限的單調語音。","음성의 안정성과 각 생성 간의 무작위성을 결정합니다. 낮은 값은 더 넓은 감정 표현 범위를 제공하며, 높은 값은 제한된 감정 표현의 단조로운 음성을 생성할 수 있습니다。","Determina la estabilidad de la voz y la aleatoriedad entre cada generación. Valores bajos permiten una gama emocional más amplia, mientras que valores altos pueden producir una voz monótona con emociones limitadas.","يحدد مدى استقرار الصوت والعشوائية بين كل مرة توليد. القيم المنخفضة تعطي نطاقًا عاطفيًا أوسع، بينما القيم العالية قد تؤدي إلى صوت رتيب محدود العواطف.","Menentukan seberapa stabil suara dan tingkat keacakan antar generasi. Nilai rendah memungkinkan ekspresi emosi yang lebih luas, sementara nilai tinggi dapat menghasilkan suara monoton dengan ekspresi emosi yang terbatas。",
SimilarityBoostName,,類似性,Similarity,相似性,相似性,유사성,Similitud,تشابه,Kesamaan,
SimilarityBoostDesc,,AIが元の音声を複製する際に、元の音声にどれだけ忠実に従うかを決定します。,"Determines how closely the AI should adhere to the original voice when attempting to replicate it.","决定在 AI 复制原始语音时应多大程度地忠实于原始语音。","決定 AI 在複製原始語音時應有多大程度地忠實於原始語音。","AI가 원래 음성을 복제할 때 원본 음성을 얼마나 충실히 따를지를 결정합니다。","Determina cuán fielmente debe seguir la IA la voz original al intentar replicarla.","يحدد مدى التزام الذكاء الاصطناعي بالصوت الأصلي عند محاولة تقليده.","Menentukan seberapa dekat AI harus mengikuti suara asli saat mencoba menirunya。",
StyleName,,スタイル,Style,风格,風格,스타일,Estilo,أسلوب, Gaya,
StyleDesc,,声のスタイル誇張度を決定します。この設定は、元の話し手のスタイルを増幅しようとします。追加の計算リソースを消費し、0以外の値に設定するとレイテンシが増加する可能性があります。,"Determines the style exaggeration of the voice. This setting attempts to amplify the style of the original speaker. It does consume additional computational resources and might increase latency if set to anything other than 0.","决定语音风格的夸张程度。该设置会尝试放大源说话者的风格，会消耗额外的计算资源；并且如果设置为非零值，可能会增加延迟。","決定語音風格的誇張程度。此設定會嘗試放大原始說話者的風格。會消耗額外的計算資源，若設定為非 0，可能會增加延遲。","음성 스타일의 과장 정도를 결정합니다. 이 설정은 원래 화자의 스타일을 증폭하려고 합니다. 추가 연산 자원이 소모되며, 0 이외의 값으로 설정할 경우 지연 시간이 증가할 수 있습니다。","Determina el grado de exageración del estilo de la voz. Esta configuración intenta amplificar el estilo del hablante original. Consume recursos computacionales adicionales y puede aumentar la latencia si se establece un valor distinto de 0.","يحدد مدى المبالغة في أسلوب الصوت. تحاول هذه الإعدادات تضخيم أسلوب المتحدث الأصلي. تستهلك موارد حسابية إضافية وقد تؤدي إلى زيادة في زمن الاستجابة إذا تم ضبطها على أي قيمة غير الصفر.","Menentukan seberapa besar gaya suara dilebih-lebihkan. Pengaturan ini berupaya memperkuat gaya pembicara asli. Menggunakan sumber daya komputasi tambahan dan dapat meningkatkan latensi jika disetel ke nilai selain 0。",
UseSpeakerBoostName,,スタイル強調,Style Boost,风格强调,風格強調,스타일 강조,Estilo de Estilo,أسلوب تعزيز, Gaya Peningkatan,
UseSpeakerBoostDesc,,この設定は、元の話者との類似性を高めます。この設定を使用すると、計算負荷が若干高くなり、レイテンシーが増加します。,"This setting boosts the similarity to the original speaker. Using this setting requires a slightly higher computational load, which in turn increases latency.","该设置会提高与源说话者的相似性。启用该设置会略微增加计算负载，并导致延迟提高。","此設定會提高與原始說話者的相似性。啟用此設定會稍微增加計算負擔，並可能導致延遲增加。","이 설정은 원래 화자와의 유사성을 높입니다. 이 설정을 사용하면 계산 부하가 약간 증가하고 지연 시간이 늘어납니다。","Esta configuración aumenta la similitud con el hablante original. Usarla implica una carga computacional ligeramente mayor, lo que aumenta la latencia.","هذا الإعداد يعزز التشابه مع المتحدث الأصلي. يؤدي استخدامه إلى زيادة طفيفة في الحمل الحاسوبي وبالتالي زيادة زمن الاستجابة.","Pengaturan ini meningkatkan kemiripan dengan pembicara asli. Menggunakan pengaturan ini memerlukan beban komputasi yang sedikit lebih tinggi, yang dapat meningkatkan latensi。",
