Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
ToolName,,録音,Recording,录音,錄音,녹음,Grabación,التسجيل,Perekaman
EngineName,,録音,Recording,录音,錄音,녹음,Grabación,التسجيل,Perekaman
SpeakerName,,録音,Recording,录音,錄音,녹음,Grabación,التسجيل,Perekaman
ParameterTextName,,セリフ,Dialogue,台词,台詞,대사,Diálogo,الحوار,Dialog
ParameterTextDescription,,読み上げ用テキスト,Speech text,朗读文本,朗讀文本,읽기용 텍스트,Texto de voz,نص القراءة,Teks ucapan
ParameterAudioFileName,,録音ファイル,Recording File,录音文件,錄音檔案,녹음 파일,Archivo de grabación,ملف التسجيل,File Rekaman
ParameterAudioFileDescription,,録音済みWAVファイルのパス,Path to recorded WAV file,已录制WAV文件路径,已錄製WAV檔案路徑,녹음된 WAV 파일 경로,Ruta del archivo WAV grabado,مسار ملف WAV المسجل,Jalur file WAV rekaman
InvalidParameter,,録音パラメータが不正です。,Recording parameter is invalid.,录音参数无效。,錄音參數無效。,녹음 매개변수가 올바르지 않습니다.,El parámetro de grabación no es válido.,معلمة التسجيل غير صالحة.,Parameter perekaman tidak valid.
RecordedWavNotFound,,録音ファイルが見つかりません。,Recorded WAV not found.,未找到录音文件。,找不到錄音檔案。,녹음 파일을 찾을 수 없습니다.,No se encontró el archivo grabado.,لم يتم العثور على ملف التسجيل.,File rekaman tidak ditemukan.
Unselected,,未選択,Unselected,未选择,未選擇,선택 안 함,Sin seleccionar,غير محدد,Belum dipilih
SelectRecordedAudioButton,,録音を選択,Select Recording,选择录音,選擇錄音,녹음 선택,Seleccionar grabación,اختيار التسجيل,Pilih rekaman
RecordedAudioSelectorTitle,,録音の選択,Select Recording,选择录音,選擇錄音,녹음 선택,Seleccionar grabación,اختيار التسجيل,Pilih rekaman
RecordedAudioFileNameHeader,,ファイル名,File Name,文件名,檔案名稱,파일 이름,Nombre de archivo,اسم الملف,Nama File
RecordedAudioCreatedAtHeader,,作成日時,Created At,创建时间,建立時間,생성 일시,Fecha de creación,تاريخ الإنشاء,Waktu Dibuat
RecordedAudioDurationHeader,,長さ,Duration,时长,長度,길이,Duración,المدة,Durasi
Select,,選択,Select,选择,選擇,선택,Seleccionar,تحديد,Pilih
Cancel,,キャンセル,Cancel,取消,取消,취소,Cancelar,إلغاء,Batal
PlaySelected,,再生,Play,播放,播放,재생,Reproducir,تشغيل,Putar
Stop,,停止,Stop,停止,停止,중지,Detener,إيقاف,Hentikan
StartRecording,,録音開始,Start Recording,开始录音,開始錄音,녹음 시작,Iniciar grabación,بدء التسجيل,Mulai Perekaman
StopRecording,,録音停止,Stop Recording,停止录音,停止錄音,녹음 중지,Detener grabación,إيقاف التسجيل,Hentikan Perekaman
RecordingFailed,0:error,録音に失敗しました: {0},Recording failed: {0},录音失败: {0},錄音失敗: {0},녹음에 실패했습니다: {0},Error de grabación: {0},فشل التسجيل: {0},Gagal merekam: {0}
Unselect,,未選択にする,Unselect,设为未选择,設為未選擇,선택 해제,Deseleccionar,إلغاء التحديد,Batalkan pilihan
