Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
Threshold,,閾値,Threshold,阈值,閾值,임계값,Umbral,عتبة,Ambang,
ThresholdDesc,,音声を検出する閾値。小さくするほど検出しやすくなりますが、誤検出も増えます。,The threshold for detecting voice. The lower the value, the easier it is to detect, but the more false detections there will be.,检测声音的阈值。值越小，检测越容易，但误报也会增加。,檢測聲音的閾值。值越小，檢測越容易，但誤報也會增加。,음성을 감지하는 임계값입니다. 값을 낮추면 감지가 더 쉬워지지만 오탐지도 증가합니다.,El umbral para detectar la voz. Cuanto menor sea el valor, más fácil será detectar, pero habrá más falsas detecciones.,عتبة لاكتشاف الصوت. كلما انخفضت القيمة، كان الاكتشاف أسهل، ولكن ستكون هناك المزيد من الاكتشافات الخاطئة.,Ambang untuk mendeteksi suara. Semakin rendah nilainya, semakin mudah untuk mendeteksi, tetapi semakin banyak deteksi palsu.,
MinSpeechDurationMs,,最短発話時間,Min Speech Duration,Minimum Speech Duration,最短發話時間,최소 음성 지속 시간,Duración mínima del habla,الحد الأدنى لمدة الكلام,Durasi Bicara Minimum,
MinSpeechDurationMsDesc,,この時間以上音声が続いた場合に発話とみなします。,Considered speech if the voice continues for more than this time.,如果声音持续超过此时间，则视为发言。,如果聲音持續超過此時間，則視為發言。,이 시간 이상 음성이 지속되면 음성으로 간주됩니다.,Se considera habla si la voz continúa durante más de este tiempo.,يُعتبر كلامًا إذا استمر الصوت لأكثر من هذا الوقت.,Dianggap sebagai bicara jika suara berlanjut lebih dari waktu ini.,
MaxSpeechDurationSeconds,,最長発話時間,Max Speech Duration,Maximum Speech Duration,最長發話時間,최대 음성 지속 시간,Duración máxima del habla,الحد الأقصى لمدة الكلام,Durasi Bicara Maksimum,
MaxSpeechDurationSecondsDesc,,この時間以上音声が続いた場合に発話終了とみなします。,Considered the end of speech if the voice continues for more than this time.,如果声音持续超过此时间，则视为发言结束。,如果聲音持續超過此時間，則視為發言結束。,이 시간 이상 음성이 지속되면 음성 종료로 간주됩니다.,Se considera el final del habla si la voz continúa durante más de este tiempo.,يُعتبر نهاية الكلام إذا استمر الصوت لأكثر من هذا الوقت.,Dianggap sebagai akhir bicara jika suara berlanjut lebih dari waktu ini.,
MinSilenceDurationMs,,最短無音時間,Min Silence Duration,Minimum Silence Duration,最短無音時間,최소 무음 지속 시간,Duración mínima de silencio,الحد الأدنى لمدة الصمت,Durasi Diam Minimum,
MinSilenceDurationMsDesc,,この時間以上無音が続いた場合に発話終了とみなします。,Considered the end of speech if silence continues for more than this time.,如果静音持续超过此时间，则视为发言结束。,如果靜音持續超過此時間，則視為發言結束。,이 시간 이상 무음이 지속되면 음성 종료로 간주됩니다.,Se considera el final del habla si el silencio continúa durante más de este tiempo.,يُعتبر نهاية الكلام إذا استمر الصمت لأكثر من هذا الوقت.,Dianggap sebagai akhir bicara jika keheningan berlanjut lebih dari waktu ini.,
SpeechPadMs,,発話区間拡張,Speech Padding,Speech Padding,發話區間擴展,음성 구간 확장,Espaciado de habla,توسيع الكلام,Jeda Bicara,
SpeechPadMsDesc,,この時間だけ発話区間を前後に拡張します。,Extends the speech interval back and forth by this time.,将发言区间前后扩展此时间。,將發言區間前後擴展此時間。,이 시간만큼 음성 구간을 앞뒤로 확장합니다.,Extiende el intervalo de habla hacia adelante y hacia atrás por este tiempo.,يمدد فترة الكلام ذهابًا وإيابًا بهذا الوقت.,Memperluas interval bicara bolak-balik selama waktu ini.,
SecUnit,,秒,s,秒,秒,초,Seg,ثانية,Detik,
MilliSecUnit,,㍉秒,ms,毫秒,ms,초,1 milisegundo,مللي ثانية,milidetik
